year_month,language,questions,avg_score,avg_views,avg_answers,pct_accepted,unique_users,date
2018-01,other,379487,2.0514141459391233,915.5581403315529,0.5560164116293839,0.2007789463143665,159667,2018-01-01
2018-02,other,362122,1.9573237748604062,869.9755027311238,0.5525375425961416,0.2010758805043604,155030,2018-02-01
2018-03,other,408371,2.1469717487284847,862.2654644918468,0.5506463485409101,0.198309870191566,173065,2018-03-01
2018-04,other,383169,1.9703342389389538,872.2944679762716,0.5488726906404223,0.1965033705753858,163398,2018-04-01
2018-05,other,393089,2.025007059469993,870.6049317075776,0.5503740883107897,0.1962736174250615,166526,2018-05-01
2018-06,other,361942,2.0075868509319172,882.9063192445199,0.549209541860298,0.1959374706444679,155235,2018-06-01
2018-07,other,377429,1.9361760755002928,854.2490693613898,0.5470220889226848,0.19463263289254404,160028,2018-07-01
2018-08,other,378348,1.9213475424741244,819.5950183429012,0.5470017021366572,0.19500301309905166,160004,2018-08-01
2018-09,other,345342,1.9436616455571578,801.0414284969683,0.5483549640646084,0.1950153760619907,148824,2018-09-01
2018-10,other,382139,1.8290046292056032,749.8205181884078,0.5445322251850766,0.1955466466390502,162439,2018-10-01
2018-11,other,352209,1.8285904108072195,750.5780715427487,0.5386915155490064,0.197550318134971,153952,2018-11-01
2018-12,other,315423,1.8598897353712316,747.1648801767785,0.5399003877332978,0.1953472004260945,139456,2018-12-01
2019-01,other,358529,1.8337066178747048,730.9885476488653,0.5388573867106984,0.19543746809881488,155928,2019-01-01
2019-02,other,350204,1.7388579228107046,703.4292412422474,0.5415443570033466,0.1954089616337906,152353,2019-02-01
2019-03,other,382170,1.8820289400005232,691.6066933563598,0.5381610278148468,0.19491325849752728,164665,2019-03-01
2019-04,other,361703,1.6659800996950538,656.4590064223963,0.5344992991487492,0.19273271164463662,158659,2019-04-01
2019-05,other,354687,1.62230924730819,604.4999929515319,0.5294668256801067,0.1940697008912083,155579,2019-05-01
2019-06,other,319661,1.7286281404362747,687.954082606261,0.5347727749084186,0.19421824995854983,141608,2019-06-01
2019-07,other,354130,1.6093016688786603,629.3763363736481,0.533086719566261,0.19391184028464123,154353,2019-07-01
2019-08,other,327677,1.650836036706879,610.5578176069728,0.5282702173176634,0.19439570064423198,144575,2019-08-01
2019-09,other,324451,1.6506560312651217,621.7928315831974,0.5340529078350814,0.19061738136113004,144248,2019-09-01
2019-10,other,358766,1.5522903508136223,600.5907583215801,0.5328152612008942,0.1925349670816075,157046,2019-10-01
2019-11,other,350555,1.5101909828700204,559.7897334227154,0.5289155767283308,0.19047510376403132,155008,2019-11-01
2019-12,other,315476,1.5658560397621373,589.0703159669832,0.526382355551611,0.1912950588951299,141143,2019-12-01
2020-01,other,346383,1.5418481853901607,592.2923064931016,0.5262902625128831,0.19308973015419348,151740,2020-01-01
2020-02,other,339532,1.458472250038288,570.8447215579091,0.5256293957565119,0.19298622810221128,150547,2020-02-01
2020-03,other,354395,1.3727817830386997,542.8818295969187,0.5200919877537775,0.1973052667221603,157216,2020-03-01
2020-04,other,416196,1.3355510384530365,525.76629760978,0.5168045824563426,0.20053772741689013,177768,2020-04-01
