month,language,n_questions,avg_score,avg_views,pct_answered
2024-04-01,python,1000,0.42,470.9,49.7
2024-05-01,python,1000,0.56,475.4,50.9
2024-06-01,python,1000,0.39,333.8,48.7
2024-07-01,python,1000,0.48,511.3,52.6
2024-08-01,python,1000,0.55,310.0,52.1
2024-09-01,python,1000,0.44,315.9,50.8
2024-10-01,python,1000,0.41,315.9,52.3
2024-11-01,python,1000,0.47,277.4,52.7
2024-12-01,python,1000,0.46,279.7,51.4
2025-01-01,python,1000,0.61,340.3,52.8
2025-02-01,python,1000,0.5,244.9,52.1
2025-03-01,python,1000,0.41,243.4,56.3
2025-04-01,python,1000,0.49,240.2,49.2
2025-05-01,python,1000,0.53,200.5,49.6
2025-06-01,python,987,0.67,215.9,49.4
2025-07-01,python,913,0.87,194.9,58.5
2025-08-01,python,691,1.03,187.9,59.0
2025-09-01,python,647,0.7,167.5,51.0
2025-10-01,python,623,0.89,186.0,59.6
2025-11-01,python,618,0.72,197.3,59.1
2025-12-01,python,484,0.84,193.1,58.7
2026-01-01,python,445,0.91,187.6,58.2
2026-02-01,python,359,0.99,103.4,57.1
2024-04-01,javascript,1000,0.28,382.6,46.0
2024-05-01,javascript,1000,0.45,353.9,49.1
2024-06-01,javascript,1000,0.35,314.2,50.6
2024-07-01,javascript,1000,0.31,296.8,48.2
2024-08-01,javascript,1000,0.53,485.1,46.4
2024-09-01,javascript,1000,0.4,309.7,47.5
2024-10-01,javascript,1000,0.26,294.9,55.2
2024-11-01,javascript,1000,0.41,358.8,47.8
2024-12-01,javascript,1000,0.46,224.6,48.8
2025-01-01,javascript,1000,0.38,252.3,49.5
2025-02-01,javascript,876,0.46,216.7,55.0
2025-03-01,javascript,927,0.4,209.6,48.0
2025-04-01,javascript,719,0.37,154.5,47.0
2025-05-01,javascript,588,0.36,170.5,49.7
2025-06-01,javascript,441,0.38,151.1,52.4
2025-07-01,javascript,412,0.36,163.4,51.2
2025-08-01,javascript,277,0.51,149.7,55.2
