month,avg_score,avg_views,pct_answered,sample_questions,data_source,total_questions
2024-04-01,0.5297,376.33,52.35,9848.0,14_language_weighted_sample,42477
2024-05-01,0.5787,362.03,52.7,9597.0,14_language_weighted_sample,40162
2024-06-01,0.5483,365.17,51.78,8977.0,14_language_weighted_sample,32017
2024-07-01,0.5199,347.04,53.19,8863.0,14_language_weighted_sample,31501
2024-08-01,0.5574,371.31,53.45,8390.0,14_language_weighted_sample,27863
2024-09-01,0.617,322.62,52.84,7866.0,14_language_weighted_sample,24794
2024-10-01,0.614,307.15,55.26,7770.0,14_language_weighted_sample,23223
2024-11-01,0.605,301.24,53.47,7443.0,14_language_weighted_sample,20846
2024-12-01,0.6312,250.08,51.97,6654.0,14_language_weighted_sample,17972
2025-01-01,0.6543,238.45,53.84,6791.0,14_language_weighted_sample,18239
2025-02-01,0.6924,216.14,57.46,5949.0,14_language_weighted_sample,15567
2025-03-01,0.6691,198.7,54.11,6045.0,14_language_weighted_sample,15131
2025-04-01,0.8193,189.48,51.34,5117.0,14_language_weighted_sample,12904
2025-05-01,0.7513,185.69,53.72,4511.0,14_language_weighted_sample,11564
2025-06-01,0.8447,193.61,53.74,3688.0,14_language_weighted_sample,9204
2025-07-01,0.949,189.27,58.05,3297.0,14_language_weighted_sample,7758
2025-08-01,1.0219,188.98,57.68,2593.0,14_language_weighted_sample,5840
2025-09-01,0.9927,200.02,54.71,2414.0,14_language_weighted_sample,6065
2025-10-01,1.0804,178.11,57.75,2324.0,14_language_weighted_sample,5373
2025-11-01,0.8916,197.26,60.48,2426.0,14_language_weighted_sample,5441
2025-12-01,1.1264,243.16,62.29,1869.0,14_language_weighted_sample,4248
2026-01-01,1.1055,227.21,61.86,1618.0,14_language_weighted_sample,3779
2026-02-01,1.1479,128.18,61.23,1349.0,14_language_weighted_sample,3221
2026-03-01,0,0,0,0,api_total_only,3437
