week_dt,week,covid_peak,post_covid,tech_layoff_wave1,tech_layoff_wave2,tech_layoff,so_ai_ban,so_strike,so_api_restrict,post_copilot_beta,post_copilot_ga,post_chatgpt,post_gpt4,post_llama2,post_codelllama,post_claude3,post_gpt4o,post_cursor_boom,ai_capability_index
2018-01-01,2018-W01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2018-01-08,2018-W02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2018-01-15,2018-W03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2018-01-22,2018-W04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2018-01-29,2018-W05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2018-02-05,2018-W06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2018-02-12,2018-W07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2018-02-19,2018-W08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2018-02-26,2018-W09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2018-03-05,2018-W10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2018-03-12,2018-W11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2018-03-19,2018-W12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2018-03-26,2018-W13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2018-04-02,2018-W14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2018-04-09,2018-W15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2018-04-16,2018-W16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2018-04-23,2018-W17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2018-04-30,2018-W18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2018-05-07,2018-W19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2018-05-14,2018-W20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2018-05-21,2018-W21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2018-05-28,2018-W22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2018-06-04,2018-W23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2018-06-11,2018-W24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2018-06-18,2018-W25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2018-06-25,2018-W26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2018-07-02,2018-W27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2018-07-09,2018-W28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2018-07-16,2018-W29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2018-07-23,2018-W30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2018-07-30,2018-W31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2018-08-06,2018-W32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2018-08-13,2018-W33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2018-08-20,2018-W34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2018-08-27,2018-W35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2018-09-03,2018-W36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2018-09-10,2018-W37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2018-09-17,2018-W38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2018-09-24,2018-W39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2018-10-01,2018-W40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2018-10-08,2018-W41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2018-10-15,2018-W42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2018-10-22,2018-W43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2018-10-29,2018-W44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2018-11-05,2018-W45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2018-11-12,2018-W46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2018-11-19,2018-W47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2018-11-26,2018-W48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2018-12-03,2018-W49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2018-12-10,2018-W50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2018-12-17,2018-W51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2018-12-24,2018-W52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2018-12-31,2019-W01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2019-01-07,2019-W02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2019-01-14,2019-W03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2019-01-21,2019-W04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
