lang,month,n_active_users,total_questions,gini,hhi,top10_share
assembly,2018-01,165,186,0.106419,0.007284,0.204301
assembly,2018-02,194,224,0.122331,0.006378,0.214286
assembly,2018-03,201,241,0.148634,0.006319,0.224066
assembly,2018-04,206,245,0.13939,0.005748,0.204082
assembly,2018-05,187,221,0.139618,0.00649,0.226244
assembly,2018-06,136,154,0.106761,0.008349,0.207792
assembly,2018-07,113,141,0.16946,0.010714,0.22695
assembly,2018-08,121,134,0.089306,0.009133,0.19403
assembly,2018-09,172,198,0.122798,0.007346,0.222222
assembly,2018-10,218,251,0.121185,0.005635,0.215139
assembly,2018-11,205,241,0.136707,0.005974,0.228216
assembly,2018-12,134,165,0.164134,0.009293,0.224242
assembly,2019-01,149,176,0.138804,0.008394,0.215909
assembly,2019-02,144,174,0.148388,0.008191,0.206897
assembly,2019-03,192,233,0.163604,0.008307,0.253219
assembly,2019-04,201,239,0.145174,0.00639,0.23431
assembly,2019-05,159,187,0.136414,0.00775,0.219251
assembly,2019-06,130,156,0.150394,0.009615,0.224359
assembly,2019-07,123,141,0.116012,0.009607,0.212766
assembly,2019-08,110,130,0.136364,0.010651,0.207692
assembly,2019-09,145,174,0.152041,0.008918,0.235632
assembly,2019-10,209,250,0.144574,0.00576,0.208
assembly,2019-11,180,221,0.169457,0.007596,0.244344
assembly,2019-12,151,187,0.174381,0.009122,0.251337
assembly,2020-01,136,168,0.160364,0.00907,0.202381
assembly,2020-02,163,211,0.204693,0.009456,0.265403
assembly,2020-03,195,231,0.141947,0.006503,0.225108
assembly,2020-04,254,303,0.146085,0.004934,0.224422
assembly,2020-05,239,292,0.162865,0.005395,0.229452
assembly,2020-06,185,245,0.216304,0.00908,0.261224
assembly,2020-07,160,191,0.147677,0.007977,0.225131
assembly,2020-08,137,196,0.288098,0.023844,0.372449
assembly,2020-09,168,243,0.291128,0.017223,0.36214
assembly,2020-10,219,283,0.200591,0.007229,0.24735
assembly,2020-11,224,278,0.170735,0.00603,0.226619
assembly,2020-12,209,250,0.146258,0.005824,0.216
assembly,2021-01,188,224,0.146467,0.006856,0.227679
assembly,2021-02,154,182,0.143642,0.009298,0.241758
assembly,2021-03,238,266,0.098155,0.004805,0.195489
assembly,2021-04,195,229,0.137409,0.006655,0.231441
assembly,2021-05,195,225,0.1249,0.006617,0.222222
assembly,2021-06,175,209,0.147095,0.007074,0.229665
assembly,2021-07,106,130,0.154862,0.011124,0.2
assembly,2021-08,103,122,0.129874,0.010884,0.188525
assembly,2021-09,135,156,0.118993,0.008465,0.198718
assembly,2021-10,123,155,0.18075,0.010614,0.23871
assembly,2021-11,202,230,0.111451,0.005709,0.213043
assembly,2021-12,174,203,0.130712,0.006916,0.226601
assembly,2022-01,150,185,0.17027,0.008736,0.237838
assembly,2022-02,140,164,0.126742,0.008105,0.189024
assembly,2022-03,161,192,0.140399,0.00727,0.208333
assembly,2022-04,173,195,0.10292,0.006548,0.205128
assembly,2022-05,163,197,0.153219,0.007601,0.22335
assembly,2022-06,145,191,0.20993,0.010279,0.251309
assembly,2022-07,113,147,0.210704,0.015873,0.278912
assembly,2022-08,113,131,0.12484,0.010431,0.221374
assembly,2022-09,115,135,0.131272,0.01037,0.207407
assembly,2022-10,157,184,0.131612,0.007502,0.211957
assembly,2022-11,197,222,0.10134,0.005641,0.193694
assembly,2022-12,171,209,0.167212,0.007944,0.258373
