lang,month,n_questions,median_body_length,median_code_blocks,frac_with_code
assembly,2018-01,194,823.0,1.0,0.798969
assembly,2018-02,228,951.5,2.0,0.903509
assembly,2018-03,253,1083.0,2.0,0.909091
assembly,2018-04,258,1085.5,2.0,0.864341
assembly,2018-05,227,957.0,2.0,0.819383
assembly,2018-06,159,965.0,2.0,0.823899
assembly,2018-07,144,956.5,2.0,0.833333
assembly,2018-08,141,943.0,2.0,0.836879
assembly,2018-09,204,1010.0,2.0,0.813725
assembly,2018-10,267,881.0,2.0,0.876404
assembly,2018-11,248,1012.0,1.0,0.870968
assembly,2018-12,176,976.5,1.0,0.846591
assembly,2019-01,178,963.0,2.0,0.820225
assembly,2019-02,180,879.5,2.0,0.816667
assembly,2019-03,237,1032.0,2.0,0.894515
assembly,2019-04,244,958.5,1.0,0.815574
assembly,2019-05,191,1145.0,2.0,0.884817
assembly,2019-06,161,921.0,2.0,0.795031
assembly,2019-07,148,988.5,2.0,0.858108
assembly,2019-08,130,1198.0,2.0,0.846154
assembly,2019-09,178,988.5,2.0,0.904494
assembly,2019-10,264,982.0,2.0,0.886364
assembly,2019-11,221,950.0,1.0,0.837104
assembly,2019-12,193,1071.0,2.0,0.875648
assembly,2020-01,173,1016.0,2.0,0.867052
assembly,2020-02,217,1005.0,2.0,0.83871
assembly,2020-03,237,990.0,1.0,0.839662
assembly,2020-04,313,1007.0,2.0,0.86901
assembly,2020-05,294,1051.5,2.0,0.891156
assembly,2020-06,257,1027.0,2.0,0.836576
assembly,2020-07,206,963.0,1.0,0.776699
assembly,2020-08,202,824.0,3.0,0.886139
assembly,2020-09,253,888.0,2.0,0.897233
assembly,2020-10,293,1084.0,2.0,0.90785
assembly,2020-11,297,1151.0,2.0,0.888889
assembly,2020-12,256,1023.5,2.0,0.84375
assembly,2021-01,238,1067.0,2.0,0.865546
assembly,2021-02,186,961.5,2.0,0.833333
assembly,2021-03,273,881.0,2.0,0.794872
assembly,2021-04,242,1082.5,1.0,0.863636
assembly,2021-05,243,1139.0,2.0,0.909465
assembly,2021-06,216,948.0,2.0,0.884259
assembly,2021-07,142,856.0,2.0,0.859155
assembly,2021-08,127,1168.0,1.0,0.779528
assembly,2021-09,160,999.5,2.0,0.8
assembly,2021-10,161,902.0,2.0,0.826087
assembly,2021-11,241,980.0,2.0,0.86722
assembly,2021-12,209,1028.0,2.0,0.861244
assembly,2022-01,186,1103.0,2.0,0.913978
assembly,2022-02,166,1016.5,2.0,0.813253
assembly,2022-03,194,1028.5,1.0,0.871134
assembly,2022-04,198,1076.0,2.0,0.853535
assembly,2022-05,201,1012.0,2.0,0.855721
assembly,2022-06,194,899.0,2.0,0.840206
assembly,2022-07,149,1062.0,2.0,0.838926
assembly,2022-08,132,1013.5,2.0,0.840909
assembly,2022-09,140,1017.0,1.0,0.821429
assembly,2022-10,189,972.0,1.0,0.899471
assembly,2022-11,223,1152.0,2.0,0.878924
assembly,2022-12,214,1192.0,2.0,0.88785
assembly,2023-01,189,1244.0,1.0,0.878307
assembly,2023-02,132,1154.0,1.5,0.795455
assembly,2023-03,136,1182.0,1.0,0.904412
assembly,2023-04,160,1203.0,2.0,0.83125
assembly,2023-05,153,1372.0,2.0,0.888889
assembly,2023-06,128,1401.5,2.0,0.820312
assembly,2023-07,131,1132.0,2.0,0.832061
assembly,2023-08,115,1322.0,2.0,0.869565
assembly,2023-09,123,1598.0,2.0,0.853659
assembly,2023-10,140,1459.5,1.0,0.835714
assembly,2023-11,145,1228.0,1.0,0.855172
assembly,2023-12,152,1528.0,2.0,0.894737
assembly,2024-01,146,1368.5,2.0,0.890411
assembly,2024-02,107,1355.0,1.0,0.869159
assembly,2024-03,128,1733.0,2.0,0.945312
c,2018-01,1997,1132.0,2.0,0.917376
c,2018-02,1916,1073.0,2.0,0.924843
c,2018-03,2251,1118.0,2.0,0.926699
c,2018-04,2033,1156.0,2.0,0.924742
c,2018-05,2164,1215.0,2.0,0.927911
c,2018-06,1671,1056.0,2.0,0.907241
c,2018-07,1430,1041.0,2.0,0.927273
c,2018-08,1527,1073.0,2.0,0.926654
c,2018-09,1698,1123.0,2.0,0.933451
c,2018-10,2275,1124.0,2.0,0.926154
c,2018-11,2319,1149.0,2.0,0.935317
c,2018-12,2034,1166.5,2.0,0.916912
c,2019-01,2074,1181.0,2.0,0.922372
c,2019-02,1882,1089.5,2.0,0.924548
c,2019-03,2198,1182.0,2.0,0.930846
c,2019-04,2232,1159.0,2.0,0.926971
c,2019-05,1909,1165.0,2.0,0.915139
