month,biology_questions
2011-05-01,1
2011-07-01,1
2011-11-01,1
2011-12-01,124
2012-01-01,126
2012-02-01,148
2012-03-01,130
2012-04-01,133
2012-05-01,134
2012-06-01,128
2012-07-01,103
2012-08-01,105
2012-09-01,116
2012-10-01,124
2012-11-01,113
2012-12-01,98
2013-01-01,134
2013-02-01,138
2013-03-01,131
2013-04-01,137
2013-05-01,157
2013-06-01,157
2013-07-01,174
2013-08-01,212
2013-09-01,176
2013-10-01,176
2013-11-01,202
2013-12-01,179
2014-01-01,178
2014-02-01,238
2014-03-01,274
2014-04-01,271
2014-05-01,252
2014-06-01,196
2014-07-01,245
2014-08-01,234
2014-09-01,311
2014-10-01,289
2014-11-01,255
2014-12-01,256
2015-01-01,285
2015-02-01,275
2015-03-01,321
2015-04-01,339
2015-05-01,294
2015-06-01,279
2015-07-01,287
2015-08-01,283
2015-09-01,281
2015-10-01,333
2015-11-01,357
2015-12-01,246
2016-01-01,301
2016-02-01,317
2016-03-01,325
2016-04-01,284
2016-05-01,273
2016-06-01,267
2016-07-01,273
2016-08-01,293
2016-09-01,264
2016-10-01,300
2016-11-01,267
2016-12-01,252
2017-01-01,314
2017-02-01,314
2017-03-01,369
2017-04-01,445
2017-05-01,400
2017-06-01,314
2017-07-01,337
2017-08-01,384
2017-09-01,306
2017-10-01,301
2017-11-01,327
2017-12-01,206
2018-01-01,244
2018-02-01,242
2018-03-01,260
2018-04-01,302
2018-05-01,275
2018-06-01,251
2018-07-01,270
2018-08-01,208
2018-09-01,203
2018-10-01,233
2018-11-01,216
2018-12-01,217
2019-01-01,206
2019-02-01,220
2019-03-01,236
2019-04-01,224
2019-05-01,186
2019-06-01,173
2019-07-01,197
2019-08-01,183
2019-09-01,176
2019-10-01,158
2019-11-01,125
2019-12-01,148
2020-01-01,160
2020-02-01,161
2020-03-01,210
2020-04-01,254
2020-05-01,225
2020-06-01,181
2020-07-01,173
2020-08-01,184
2020-09-01,177
2020-10-01,165
2020-11-01,136
2020-12-01,152
2021-01-01,140
2021-02-01,126
2021-03-01,166
2021-04-01,138
2021-05-01,116
2021-06-01,173
2021-07-01,149
2021-08-01,121
2021-09-01,135
2021-10-01,121
2021-11-01,99
2021-12-01,108
2022-01-01,84
2022-02-01,100
2022-03-01,92
2022-04-01,101
2022-05-01,107
2022-06-01,105
2022-07-01,90
2022-08-01,82
2022-09-01,85
2022-10-01,81
2022-11-01,83
2022-12-01,71
2023-01-01,87
2023-02-01,58
2023-03-01,51
2023-04-01,62
2023-05-01,89
2023-06-01,81
2023-07-01,105
2023-08-01,95
2023-09-01,100
2023-10-01,91
2023-11-01,91
2023-12-01,56
2024-01-01,76
2024-02-01,93
2024-03-01,89
