month,chemistry_questions
2012-02-01,2
2012-03-01,1
2012-04-01,49
2012-05-01,135
2012-06-01,55
2012-07-01,53
2012-08-01,58
2012-09-01,77
2012-10-01,86
2012-11-01,66
2012-12-01,68
2013-01-01,74
2013-02-01,78
2013-03-01,104
2013-04-01,104
2013-05-01,120
2013-06-01,99
2013-07-01,94
2013-08-01,116
2013-09-01,107
2013-10-01,135
2013-11-01,158
2013-12-01,162
2014-01-01,206
2014-02-01,186
2014-03-01,244
2014-04-01,238
2014-05-01,273
2014-06-01,294
2014-07-01,263
2014-08-01,328
2014-09-01,399
2014-10-01,360
2014-11-01,397
2014-12-01,363
2015-01-01,393
2015-02-01,442
2015-03-01,479
2015-04-01,562
2015-05-01,560
2015-06-01,429
2015-07-01,393
2015-08-01,399
2015-09-01,466
2015-10-01,578
2015-11-01,480
2015-12-01,488
2016-01-01,464
2016-02-01,568
2016-03-01,530
2016-04-01,518
2016-05-01,453
2016-06-01,378
2016-07-01,407
2016-08-01,426
2016-09-01,497
2016-10-01,523
2016-11-01,432
2016-12-01,508
2017-01-01,580
2017-02-01,580
2017-03-01,620
2017-04-01,589
2017-05-01,553
2017-06-01,476
2017-07-01,492
2017-08-01,350
2017-09-01,361
2017-10-01,375
2017-11-01,390
2017-12-01,382
2018-01-01,424
2018-02-01,438
2018-03-01,482
2018-04-01,428
2018-05-01,426
2018-06-01,325
2018-07-01,292
2018-08-01,255
2018-09-01,240
2018-10-01,254
2018-11-01,293
2018-12-01,280
2019-01-01,408
2019-02-01,330
2019-03-01,498
2019-04-01,517
2019-05-01,525
2019-06-01,404
2019-07-01,402
2019-08-01,327
2019-09-01,301
2019-10-01,341
2019-11-01,334
2019-12-01,433
2020-01-01,382
2020-02-01,289
2020-03-01,376
2020-04-01,564
2020-05-01,512
2020-06-01,370
2020-07-01,395
2020-08-01,380
2020-09-01,366
2020-10-01,345
2020-11-01,293
2020-12-01,318
2021-01-01,342
2021-02-01,330
2021-03-01,384
2021-04-01,444
2021-05-01,445
2021-06-01,340
2021-07-01,247
2021-08-01,263
2021-09-01,260
2021-10-01,241
2021-11-01,218
2021-12-01,194
2022-01-01,222
2022-02-01,190
2022-03-01,201
2022-04-01,173
2022-05-01,185
2022-06-01,155
2022-07-01,157
2022-08-01,216
2022-09-01,182
2022-10-01,191
2022-11-01,197
2022-12-01,170
2023-01-01,179
2023-02-01,194
2023-03-01,157
2023-04-01,163
2023-05-01,200
2023-06-01,146
2023-07-01,147
2023-08-01,172
2023-09-01,183
2023-10-01,185
2023-11-01,188
2023-12-01,150
2024-01-01,178
2024-02-01,192
2024-03-01,224
