加载数据...
总样本: 98,000条
已有: 9,400条，继续...
待处理: 88,600条，5线程并行
[9,600/98000] 新增200 | 5028条/h | 剩余~17.6h | 错误:0
[9,800/98000] 新增400 | 5924条/h | 剩余~14.9h | 错误:0
[10,000/98000] 新增600 | 6184条/h | 剩余~14.2h | 错误:0
[10,200/98000] 新增800 | 5659条/h | 剩余~15.5h | 错误:0
[10,400/98000] 新增1,000 | 6220条/h | 剩余~14.1h | 错误:0
[10,600/98000] 新增1,200 | 6319条/h | 剩余~13.8h | 错误:0
[10,800/98000] 新增1,400 | 6763条/h | 剩余~12.9h | 错误:0
[11,000/98000] 新增1,600 | 6434条/h | 剩余~13.5h | 错误:0
[11,200/98000] 新增1,800 | 6498条/h | 剩余~13.4h | 错误:0
[11,400/98000] 新增2,000 | 6665条/h | 剩余~13.0h | 错误:0
[11,600/98000] 新增2,200 | 6781条/h | 剩余~12.7h | 错误:0
[11,800/98000] 新增2,400 | 6843条/h | 剩余~12.6h | 错误:0
[12,000/98000] 新增2,600 | 7021条/h | 剩余~12.2h | 错误:0
[12,200/98000] 新增2,800 | 6960条/h | 剩余~12.3h | 错误:0
[12,400/98000] 新增3,000 | 7069条/h | 剩余~12.1h | 错误:0
[12,600/98000] 新增3,200 | 7235条/h | 剩余~11.8h | 错误:0
[12,800/98000] 新增3,400 | 7346条/h | 剩余~11.6h | 错误:0
[13,000/98000] 新增3,600 | 7403条/h | 剩余~11.5h | 错误:0
[13,200/98000] 新增3,800 | 7415条/h | 剩余~11.4h | 错误:0
[13,400/98000] 新增4,000 | 7515条/h | 剩余~11.3h | 错误:0
[13,600/98000] 新增4,200 | 7613条/h | 剩余~11.1h | 错误:0
[13,800/98000] 新增4,400 | 7570条/h | 剩余~11.1h | 错误:0
[14,000/98000] 新增4,600 | 7643条/h | 剩余~11.0h | 错误:0
[14,200/98000] 新增4,800 | 7705条/h | 剩余~10.9h | 错误:0
[14,400/98000] 新增5,000 | 7736条/h | 剩余~10.8h | 错误:0
[14,600/98000] 新增5,200 | 7692条/h | 剩余~10.8h | 错误:0
[14,800/98000] 新增5,400 | 7761条/h | 剩余~10.7h | 错误:0
[15,000/98000] 新增5,600 | 7859条/h | 剩余~10.6h | 错误:0
[15,200/98000] 新增5,800 | 7802条/h | 剩余~10.6h | 错误:0
[15,400/98000] 新增6,000 | 7801条/h | 剩余~10.6h | 错误:0
[15,600/98000] 新增6,200 | 7837条/h | 剩余~10.5h | 错误:0
[15,800/98000] 新增6,400 | 7834条/h | 剩余~10.5h | 错误:0
[16,000/98000] 新增6,600 | 7894条/h | 剩余~10.4h | 错误:0
[16,200/98000] 新增6,800 | 7853条/h | 剩余~10.4h | 错误:0
[16,400/98000] 新增7,000 | 7908条/h | 剩余~10.3h | 错误:0
[16,600/98000] 新增7,200 | 7902条/h | 剩余~10.3h | 错误:0
[16,800/98000] 新增7,400 | 7918条/h | 剩余~10.3h | 错误:0
[17,000/98000] 新增7,600 | 7949条/h | 剩余~10.2h | 错误:0
[17,200/98000] 新增7,800 | 7830条/h | 剩余~10.3h | 错误:0
[17,400/98000] 新增8,000 | 7880条/h | 剩余~10.2h | 错误:0
[17,600/98000] 新增8,200 | 7862条/h | 剩余~10.2h | 错误:0
[17,800/98000] 新增8,400 | 7876条/h | 剩余~10.2h | 错误:0
[18,000/98000] 新增8,600 | 7934条/h | 剩余~10.1h | 错误:0
[18,200/98000] 新增8,800 | 7912条/h | 剩余~10.1h | 错误:0
[18,400/98000] 新增9,000 | 7941条/h | 剩余~10.0h | 错误:0
[18,600/98000] 新增9,200 | 7942条/h | 剩余~10.0h | 错误:0
[18,800/98000] 新增9,400 | 7928条/h | 剩余~10.0h | 错误:0
[19,000/98000] 新增9,600 | 7812条/h | 剩余~10.1h | 错误:0
[19,200/98000] 新增9,800 | 7842条/h | 剩余~10.0h | 错误:0
[19,400/98000] 新增10,000 | 7823条/h | 剩余~10.0h | 错误:0
[19,600/98000] 新增10,200 | 7791条/h | 剩余~10.1h | 错误:0
[19,800/98000] 新增10,400 | 7838条/h | 剩余~10.0h | 错误:0
[20,000/98000] 新增10,600 | 7872条/h | 剩余~9.9h | 错误:0
[20,200/98000] 新增10,800 | 7878条/h | 剩余~9.9h | 错误:0
[20,400/98000] 新增11,000 | 7850条/h | 剩余~9.9h | 错误:0
[20,600/98000] 新增11,200 | 7797条/h | 剩余~9.9h | 错误:0
[20,800/98000] 新增11,400 | 7820条/h | 剩余~9.9h | 错误:0
[21,000/98000] 新增11,600 | 7715条/h | 剩余~10.0h | 错误:0
[21,200/98000] 新增11,800 | 7750条/h | 剩余~9.9h | 错误:0
[21,400/98000] 新增12,000 | 7733条/h | 剩余~9.9h | 错误:0
[21,600/98000] 新增12,200 | 7733条/h | 剩余~9.9h | 错误:0
[21,800/98000] 新增12,400 | 7771条/h | 剩余~9.8h | 错误:0
[22,000/98000] 新增12,600 | 7808条/h | 剩余~9.7h | 错误:0
[22,200/98000] 新增12,800 | 7792条/h | 剩余~9.7h | 错误:0
[22,400/98000] 新增13,000 | 7769条/h | 剩余~9.7h | 错误:0
[22,600/98000] 新增13,200 | 7758条/h | 剩余~9.7h | 错误:0
[22,800/98000] 新增13,400 | 7758条/h | 剩余~9.7h | 错误:0
[23,000/98000] 新增13,600 | 7768条/h | 剩余~9.7h | 错误:0
[23,200/98000] 新增13,800 | 7788条/h | 剩余~9.6h | 错误:0
[23,400/98000] 新增14,000 | 7804条/h | 剩余~9.6h | 错误:0
[23,600/98000] 新增14,200 | 7814条/h | 剩余~9.5h | 错误:0
[23,800/98000] 新增14,400 | 7846条/h | 剩余~9.5h | 错误:0
[24,000/98000] 新增14,600 | 7837条/h | 剩余~9.4h | 错误:0
[24,200/98000] 新增14,800 | 7846条/h | 剩余~9.4h | 错误:0
[24,400/98000] 新增15,000 | 7832条/h | 剩余~9.4h | 错误:0
[24,600/98000] 新增15,200 | 7857条/h | 剩余~9.3h | 错误:0
[24,800/98000] 新增15,400 | 7882条/h | 剩余~9.3h | 错误:0
[25,000/98000] 新增15,600 | 7889条/h | 剩余~9.3h | 错误:0
[25,200/98000] 新增15,800 | 7909条/h | 剩余~9.2h | 错误:0
[25,400/98000] 新增16,000 | 7915条/h | 剩余~9.2h | 错误:0
[25,600/98000] 新增16,200 | 7876条/h | 剩余~9.2h | 错误:0
[25,800/98000] 新增16,400 | 7882条/h | 剩余~9.2h | 错误:0
[26,000/98000] 新增16,600 | 7915条/h | 剩余~9.1h | 错误:0
[26,200/98000] 新增16,800 | 7914条/h | 剩余~9.1h | 错误:0
[26,400/98000] 新增17,000 | 7932条/h | 剩余~9.0h | 错误:0
[26,600/98000] 新增17,200 | 7950条/h | 剩余~9.0h | 错误:0
[26,800/98000] 新增17,400 | 7969条/h | 剩余~8.9h | 错误:0
[27,000/98000] 新增17,600 | 7934条/h | 剩余~8.9h | 错误:0
