开始分类，目标199997条，8线程
[500/199997] 已分类500 | 5581条/h | 剩余~35.7h | 错误:0
[1000/199997] 已分类1000 | 5642条/h | 剩余~35.3h | 错误:0
[1500/199997] 已分类1500 | 6205条/h | 剩余~32.0h | 错误:0
[2000/199997] 已分类2000 | 6577条/h | 剩余~30.1h | 错误:0
[2500/199997] 已分类2500 | 6695条/h | 剩余~29.5h | 错误:0
[3000/199997] 已分类3000 | 6374条/h | 剩余~30.9h | 错误:0
[3500/199997] 已分类3500 | 6504条/h | 剩余~30.2h | 错误:0
[4000/199997] 已分类4000 | 6672条/h | 剩余~29.4h | 错误:0
[4500/199997] 已分类4500 | 7089条/h | 剩余~27.6h | 错误:0
[5000/199997] 已分类5000 | 7074条/h | 剩余~27.6h | 错误:0
[5500/199997] 已分类5499 | 7121条/h | 剩余~27.3h | 错误:1
[6000/199997] 已分类5999 | 7345条/h | 剩余~26.4h | 错误:1
[6500/199997] 已分类6498 | 7253条/h | 剩余~26.7h | 错误:2
[7000/199997] 已分类6998 | 7086条/h | 剩余~27.2h | 错误:2
[7500/199997] 已分类7498 | 7047条/h | 剩余~27.3h | 错误:2
[8000/199997] 已分类7998 | 7075条/h | 剩余~27.1h | 错误:2
[8500/199997] 已分类8497 | 6969条/h | 剩余~27.5h | 错误:3
[9000/199997] 已分类8997 | 7050条/h | 剩余~27.1h | 错误:3
[9500/199997] 已分类9497 | 7109条/h | 剩余~26.8h | 错误:3
[10000/199997] 已分类9997 | 7131条/h | 剩余~26.6h | 错误:3
[10500/199997] 已分类10497 | 7243条/h | 剩余~26.2h | 错误:3
[11000/199997] 已分类10997 | 7268条/h | 剩余~26.0h | 错误:3
[11500/199997] 已分类11497 | 7262条/h | 剩余~26.0h | 错误:3
[12000/199997] 已分类11997 | 7332条/h | 剩余~25.6h | 错误:3
[12500/199997] 已分类12497 | 7338条/h | 剩余~25.6h | 错误:3
[13000/199997] 已分类12996 | 7223条/h | 剩余~25.9h | 错误:4
[13500/199997] 已分类13496 | 7314条/h | 剩余~25.5h | 错误:4
[14000/199997] 已分类13996 | 7395条/h | 剩余~25.2h | 错误:4
[14500/199997] 已分类14484 | 7409条/h | 剩余~25.0h | 错误:16
[15000/199997] 已分类14484 | 6935条/h | 剩余~26.7h | 错误:516
[15500/199997] 已分类14484 | 6517条/h | 剩余~28.3h | 错误:1016
[16000/199997] 已分类14484 | 6147条/h | 剩余~29.9h | 错误:1516
[16500/199997] 已分类14484 | 5817条/h | 剩余~31.5h | 错误:2016
[17000/199997] 已分类14484 | 5520条/h | 剩余~33.2h | 错误:2516
[17500/199997] 已分类14484 | 5251条/h | 剩余~34.8h | 错误:3016
[18000/199997] 已分类14484 | 5009条/h | 剩余~36.3h | 错误:3516
[18500/199997] 已分类14484 | 4787条/h | 剩余~37.9h | 错误:4016
[19000/199997] 已分类14484 | 4584条/h | 剩余~39.5h | 错误:4516
[19500/199997] 已分类14484 | 4397条/h | 剩余~41.0h | 错误:5016
[20000/199997] 已分类14484 | 4225条/h | 剩余~42.6h | 错误:5516
[20500/199997] 已分类14484 | 4067条/h | 剩余~44.1h | 错误:6016
[21000/199997] 已分类14484 | 3919条/h | 剩余~45.7h | 错误:6516
[21500/199997] 已分类14484 | 3782条/h | 剩余~47.2h | 错误:7016
[22000/199997] 已分类14484 | 3655条/h | 剩余~48.7h | 错误:7516
[22500/199997] 已分类14484 | 3535条/h | 剩余~50.2h | 错误:8016
[23000/199997] 已分类14484 | 3423条/h | 剩余~51.7h | 错误:8516
[23500/199997] 已分类14484 | 3318条/h | 剩余~53.2h | 错误:9016
[24000/199997] 已分类14484 | 3219条/h | 剩余~54.7h | 错误:9516
[24500/199997] 已分类14484 | 3126条/h | 剩余~56.1h | 错误:10016
[25000/199997] 已分类14484 | 3038条/h | 剩余~57.6h | 错误:10516
[25500/199997] 已分类14484 | 2955条/h | 剩余~59.1h | 错误:11016
[26000/199997] 已分类14484 | 2876条/h | 剩余~60.5h | 错误:11516
[26500/199997] 已分类14484 | 2802条/h | 剩余~61.9h | 错误:12016
[27000/199997] 已分类14484 | 2731条/h | 剩余~63.3h | 错误:12516
[27500/199997] 已分类14484 | 2664条/h | 剩余~64.8h | 错误:13016
[28000/199997] 已分类14484 | 2599条/h | 剩余~66.2h | 错误:13516
[28500/199997] 已分类14484 | 2538条/h | 剩余~67.6h | 错误:14016
[29000/199997] 已分类14484 | 2480条/h | 剩余~68.9h | 错误:14516
[29500/199997] 已分类14484 | 2425条/h | 剩余~70.3h | 错误:15016
[30000/199997] 已分类14484 | 2371条/h | 剩余~71.7h | 错误:15516
[30500/199997] 已分类14484 | 2321条/h | 剩余~73.0h | 错误:16016
[31000/199997] 已分类14484 | 2272条/h | 剩余~74.4h | 错误:16516
[31500/199997] 已分类14484 | 2225条/h | 剩余~75.7h | 错误:17016
[32000/199997] 已分类14484 | 2180条/h | 剩余~77.1h | 错误:17516
[32500/199997] 已分类14484 | 2137条/h | 剩余~78.4h | 错误:18016
[33000/199997] 已分类14484 | 2096条/h | 剩余~79.7h | 错误:18516
[33500/199997] 已分类14484 | 2056条/h | 剩余~81.0h | 错误:19016
[34000/199997] 已分类14484 | 2017条/h | 剩余~82.3h | 错误:19516
[34500/199997] 已分类14776 | 2035条/h | 剩余~81.3h | 错误:19724
[35000/199997] 已分类15276 | 2091条/h | 剩余~78.9h | 错误:19724
[35500/199997] 已分类15776 | 2145条/h | 剩余~76.7h | 错误:19724
[36000/199997] 已分类16276 | 2201条/h | 剩余~74.5h | 错误:19724
[36500/199997] 已分类16776 | 2257条/h | 剩余~72.4h | 错误:19724
[37000/199997] 已分类17276 | 2310条/h | 剩余~70.5h | 错误:19724
[37500/199997] 已分类17776 | 2365条/h | 剩余~68.7h | 错误:19724
[38000/199997] 已分类18276 | 2413条/h | 剩余~67.1h | 错误:19724
[38500/199997] 已分类18776 | 2464条/h | 剩余~65.5h | 错误:19724
[39000/199997] 已分类19276 | 2517条/h | 剩余~64.0h | 错误:19724
[39500/199997] 已分类19776 | 2563条/h | 剩余~62.6h | 错误:19724
[40000/199997] 已分类20276 | 2613条/h | 剩余~61.2h | 错误:19724
[40500/199997] 已分类20776 | 2658条/h | 剩余~60.0h | 错误:19724
[41000/199997] 已分类21276 | 2701条/h | 剩余~58.9h | 错误:19724
[41500/199997] 已分类21776 | 2740条/h | 剩余~57.8h | 错误:19724
[42000/199997] 已分类22276 | 2783条/h | 剩余~56.8h | 错误:19724
[42500/199997] 已分类22776 | 2831条/h | 剩余~55.6h | 错误:19724
[43000/199997] 已分类23276 | 2875条/h | 剩余~54.6h | 错误:19724
[43500/199997] 已分类23776 | 2921条/h | 剩余~53.6h | 错误:19724
[44000/199997] 已分类24276 | 2964条/h | 剩余~52.6h | 错误:19724
[44500/199997] 已分类24776 | 3002条/h | 剩余~51.8h | 错误:19724
[45000/199997] 已分类25276 | 3041条/h | 剩余~51.0h | 错误:19724
[45500/199997] 已分类25776 | 3086条/h | 剩余~50.1h | 错误:19724
