[12:18:42] 加载已完成ID...
[12:18:42]   classification_100k_progress.json: 97947条
[12:18:42]   classification_200k_extra_progress.json: 15276条
[12:18:42] 总已完成: 113223条，本轮已有: 0条
[12:18:42] 读取parquet数据...
[12:18:53] 可用未分类问题: 9,441,551条
[12:18:53] 分层抽样...
[12:19:47] 分层抽样目标: 96,051条
[12:19:47] 层数: 98
[12:19:47] 各语言抽样量:
[12:19:47]   python      : 7000
[12:19:47]   javascript  : 7000
[12:19:47]   typescript  : 7000
[12:19:47]   java        : 7000
[12:19:47]   csharp      : 7000
[12:19:47]   php         : 7000
[12:19:47]   cpp         : 7000
[12:19:47]   swift       : 7000
[12:19:47]   kotlin      : 7000
[12:19:47]   go          : 7000
[12:19:47]   rust        : 7000
[12:19:47]   r           : 7000
[12:19:47]   scala       : 6397
[12:19:47]   haskell     : 6116
[12:19:47] 
开始分类，目标96,051条，8线程
[12:20:31] [200/96,051] 已分类200 | 16414条/h | 剩余~5.8h | 错误:0
[12:21:21] [400/96,051] 已分类400 | 15360条/h | 剩余~6.2h | 错误:0
[12:22:33] [600/96,051] 已分类600 | 13030条/h | 剩余~7.3h | 错误:0
[12:23:37] [800/96,051] 已分类800 | 12547条/h | 剩余~7.6h | 错误:0
[12:24:33] [1,000/96,051] 已分类1,000 | 12566条/h | 剩余~7.6h | 错误:0
[12:25:37] [1,200/96,051] 已分类1,200 | 12342条/h | 剩余~7.7h | 错误:0
[12:26:53] [1,400/96,051] 已分类1,400 | 11842条/h | 剩余~8.0h | 错误:0
[12:27:45] [1,600/96,051] 已分类1,600 | 12044条/h | 剩余~7.8h | 错误:0
[12:28:40] [1,800/96,051] 已分类1,800 | 12149条/h | 剩余~7.8h | 错误:0
[12:29:34] [2,000/96,051] 已分类2,000 | 12273条/h | 剩余~7.7h | 错误:0
[12:30:22] [2,200/96,051] 已分类2,200 | 12469条/h | 剩余~7.5h | 错误:0
[12:31:26] [2,400/96,051] 已分类2,400 | 12351条/h | 剩余~7.6h | 错误:0
[12:33:32] [2,600/96,051] 已分类2,600 | 11347条/h | 剩余~8.2h | 错误:0
[12:34:21] [2,800/96,051] 已分类2,800 | 11531条/h | 剩余~8.1h | 错误:0
[12:35:22] [3,000/96,051] 已分类3,000 | 11551条/h | 剩余~8.1h | 错误:0
[12:36:30] [3,200/96,051] 已分类3,200 | 11486条/h | 剩余~8.1h | 错误:0
[12:37:27] [3,400/96,051] 已分类3,400 | 11549条/h | 剩余~8.0h | 错误:0
[12:38:20] [3,600/96,051] 已分类3,600 | 11642条/h | 剩余~7.9h | 错误:0
[12:39:21] [3,800/96,051] 已分类3,800 | 11654条/h | 剩余~7.9h | 错误:0
[12:40:48] [4,000/96,051] 已分类4,000 | 11416条/h | 剩余~8.1h | 错误:0
[12:42:28] [4,200/96,051] 已分类4,200 | 11106条/h | 剩余~8.3h | 错误:0
[12:43:18] [4,400/96,051] 已分类4,400 | 11224条/h | 剩余~8.2h | 错误:0
[12:44:26] [4,600/96,051] 已分类4,600 | 11198条/h | 剩余~8.2h | 错误:0
[12:45:53] [4,800/96,051] 已分类4,800 | 11031条/h | 剩余~8.3h | 错误:0
[12:47:07] [5,000/96,051] 已分类5,000 | 10978条/h | 剩余~8.3h | 错误:0
[12:48:10] [5,200/96,051] 已分类5,200 | 10995条/h | 剩余~8.3h | 错误:0
[12:49:37] [5,400/96,051] 已分类5,400 | 10858条/h | 剩余~8.3h | 错误:0
[12:50:47] [5,600/96,051] 已分类5,600 | 10836条/h | 剩余~8.3h | 错误:0
[12:52:45] [5,800/96,051] 已分类5,800 | 10555条/h | 剩余~8.6h | 错误:0
[12:54:51] [6,000/96,051] 已分类6,000 | 10266条/h | 剩余~8.8h | 错误:0
[12:56:39] [6,200/96,051] 已分类6,200 | 10091条/h | 剩余~8.9h | 错误:0
[12:58:13] [6,400/96,051] 已分类6,400 | 9990条/h | 剩余~9.0h | 错误:0
[12:59:12] [6,600/96,051] 已分类6,600 | 10048条/h | 剩余~8.9h | 错误:0
[13:00:07] [6,800/96,051] 已分类6,800 | 10117条/h | 剩余~8.8h | 错误:0
[13:00:58] [7,000/96,051] 已分类7,000 | 10199条/h | 剩余~8.7h | 错误:0
[13:02:09] [7,200/96,051] 已分类7,200 | 10196条/h | 剩余~8.7h | 错误:0
[13:03:01] [7,400/96,051] 已分类7,400 | 10270条/h | 剩余~8.6h | 错误:0
[13:04:28] [7,600/96,051] 已分类7,600 | 10207条/h | 剩余~8.7h | 错误:0
[13:05:23] [7,800/96,051] 已分类7,800 | 10262条/h | 剩余~8.6h | 错误:0
[13:06:21] [8,000/96,051] 已分类8,000 | 10306条/h | 剩余~8.5h | 错误:0
[13:07:14] [8,200/96,051] 已分类8,200 | 10370条/h | 剩余~8.5h | 错误:0
[13:08:37] [8,400/96,051] 已分类8,400 | 10320条/h | 剩余~8.5h | 错误:0
[13:09:34] [8,600/96,051] 已分类8,600 | 10363条/h | 剩余~8.4h | 错误:0
[13:10:31] [8,800/96,051] 已分类8,800 | 10408条/h | 剩余~8.4h | 错误:0
[13:12:24] [9,000/96,051] 已分类9,000 | 10264条/h | 剩余~8.5h | 错误:0
[13:13:30] [9,200/96,051] 已分类9,200 | 10277条/h | 剩余~8.5h | 错误:0
[13:14:40] [9,400/96,051] 已分类9,400 | 10277条/h | 剩余~8.4h | 错误:0
[13:15:51] [9,600/96,051] 已分类9,600 | 10273条/h | 剩余~8.4h | 错误:0
[13:17:59] [9,800/96,051] 已分类9,800 | 10102条/h | 剩余~8.5h | 错误:0
[13:18:55] [10,000/96,051] 已分类10,000 | 10145条/h | 剩余~8.5h | 错误:0
[13:19:57] [10,200/96,051] 已分类10,200 | 10170条/h | 剩余~8.4h | 错误:0
[13:21:00] [10,400/96,051] 已分类10,400 | 10195条/h | 剩余~8.4h | 错误:0
[13:22:15] [10,600/96,051] 已分类10,600 | 10181条/h | 剩余~8.4h | 错误:0
[13:23:21] [10,800/96,051] 已分类10,800 | 10193条/h | 剩余~8.4h | 错误:0
[13:25:22] [11,000/96,051] 已分类11,000 | 10063条/h | 剩余~8.5h | 错误:0
[13:26:30] [11,200/96,051] 已分类11,200 | 10071条/h | 剩余~8.4h | 错误:0
[13:27:38] [11,400/96,051] 已分类11,400 | 10081条/h | 剩余~8.4h | 错误:0
[13:28:55] [11,600/96,051] 已分类11,600 | 10068条/h | 剩余~8.4h | 错误:0
[13:30:13] [11,800/96,051] 已分类11,800 | 10053条/h | 剩余~8.4h | 错误:0
[13:31:16] [12,000/96,051] 已分类12,000 | 10072条/h | 剩余~8.3h | 错误:0
[13:32:52] [12,200/96,051] 已分类12,200 | 10016条/h | 剩余~8.4h | 错误:0
[13:33:57] [12,400/96,051] 已分类12,400 | 10031条/h | 剩余~8.3h | 错误:0
[13:35:05] [12,600/96,051] 已分类12,600 | 10039条/h | 剩余~8.3h | 错误:0
[13:36:30] [12,800/96,051] 已分类12,800 | 10011条/h | 剩余~8.3h | 错误:0
