month,datascience_questions
2014-05-01,58
2014-06-01,99
2014-07-01,76
2014-08-01,64
2014-09-01,48
2014-10-01,69
2014-11-01,64
2014-12-01,81
2015-01-01,63
2015-02-01,72
2015-03-01,53
2015-04-01,71
2015-05-01,92
2015-06-01,121
2015-07-01,116
2015-08-01,101
2015-09-01,93
2015-10-01,115
2015-11-01,115
2015-12-01,149
2016-01-01,170
2016-02-01,145
2016-03-01,195
2016-04-01,178
2016-05-01,162
2016-06-01,170
2016-07-01,205
2016-08-01,219
2016-09-01,150
2016-10-01,163
2016-11-01,197
2016-12-01,158
2017-01-01,209
2017-02-01,203
2017-03-01,278
2017-04-01,170
2017-05-01,212
2017-06-01,250
2017-07-01,223
2017-08-01,292
2017-09-01,192
2017-10-01,234
2017-11-01,335
2017-12-01,318
2018-01-01,413
2018-02-01,381
2018-03-01,405
2018-04-01,438
2018-05-01,571
2018-06-01,407
2018-07-01,453
2018-08-01,504
2018-09-01,489
2018-10-01,456
2018-11-01,403
2018-12-01,406
2019-01-01,459
2019-02-01,613
2019-03-01,658
2019-04-01,590
2019-05-01,590
2019-06-01,604
2019-07-01,656
2019-08-01,574
2019-09-01,507
2019-10-01,442
2019-11-01,479
2019-12-01,576
2020-01-01,664
2020-02-01,529
2020-03-01,581
2020-04-01,581
2020-05-01,591
2020-06-01,549
2020-07-01,567
2020-08-01,448
2020-09-01,415
2020-10-01,413
2020-11-01,404
2020-12-01,387
2021-01-01,453
2021-02-01,398
2021-03-01,434
2021-04-01,472
2021-05-01,517
2021-06-01,397
2021-07-01,369
2021-08-01,326
2021-09-01,330
2021-10-01,335
2021-11-01,368
2021-12-01,313
2022-01-01,328
2022-02-01,286
2022-03-01,302
2022-04-01,312
2022-05-01,292
2022-06-01,262
2022-07-01,248
2022-08-01,266
2022-09-01,270
2022-10-01,318
2022-11-01,254
2022-12-01,252
2023-01-01,222
2023-02-01,210
2023-03-01,205
2023-04-01,291
2023-05-01,306
2023-06-01,313
2023-07-01,270
2023-08-01,237
2023-09-01,257
2023-10-01,239
2023-11-01,277
2023-12-01,190
2024-01-01,233
2024-02-01,210
2024-03-01,262
2024-04-01,138
2024-05-01,108
2024-06-01,80
2024-07-01,72
2024-08-01,72
2024-09-01,58
2024-10-01,44
2024-11-01,73
2024-12-01,62
2025-01-01,78
2025-02-01,71
2025-03-01,80
2025-04-01,67
2025-05-01,66
2025-06-01,61
2025-07-01,59
2025-08-01,46
2025-09-01,41
2025-10-01,46
2025-11-01,28
2025-12-01,23
2026-01-01,30
2026-02-01,18
