month,english_questions
2009-06-01,1
2010-01-01,1
2010-08-01,489
2010-09-01,287
2010-10-01,273
2010-11-01,372
2010-12-01,438
2011-01-01,748
2011-02-01,834
2011-03-01,952
2011-04-01,985
2011-05-01,1014
2011-06-01,916
2011-07-01,878
2011-08-01,834
2011-09-01,799
2011-10-01,684
2011-11-01,674
2011-12-01,613
2012-01-01,695
2012-02-01,660
2012-03-01,666
2012-04-01,716
2012-05-01,734
2012-06-01,711
2012-07-01,665
2012-08-01,779
2012-09-01,632
2012-10-01,755
2012-11-01,694
2012-12-01,739
2013-01-01,935
2013-02-01,704
2013-03-01,760
2013-04-01,664
2013-05-01,634
2013-06-01,534
2013-07-01,654
2013-08-01,820
2013-09-01,959
2013-10-01,1038
2013-11-01,1002
2013-12-01,991
2014-01-01,1158
2014-02-01,1345
2014-03-01,1323
2014-04-01,1331
2014-05-01,1295
2014-06-01,1144
2014-07-01,1228
2014-08-01,1169
2014-09-01,1063
2014-10-01,1261
2014-11-01,1256
2014-12-01,1225
2015-01-01,1285
2015-02-01,1189
2015-03-01,1315
2015-04-01,1326
2015-05-01,1343
2015-06-01,1409
2015-07-01,1682
2015-08-01,1514
2015-09-01,1328
2015-10-01,1531
2015-11-01,1625
2015-12-01,1413
2016-01-01,1385
2016-02-01,1201
2016-03-01,1190
2016-04-01,1204
2016-05-01,1328
2016-06-01,1032
2016-07-01,1103
2016-08-01,1122
2016-09-01,974
2016-10-01,995
2016-11-01,907
2016-12-01,903
2017-01-01,975
2017-02-01,975
2017-03-01,1161
2017-04-01,1117
2017-05-01,1076
2017-06-01,1022
2017-07-01,1048
2017-08-01,834
2017-09-01,860
2017-10-01,868
2017-11-01,809
2017-12-01,782
2018-01-01,892
2018-02-01,915
2018-03-01,1150
2018-04-01,1034
2018-05-01,951
2018-06-01,880
2018-07-01,1038
2018-08-01,956
2018-09-01,846
2018-10-01,1070
2018-11-01,887
2018-12-01,957
2019-01-01,971
2019-02-01,928
2019-03-01,989
2019-04-01,801
2019-05-01,771
2019-06-01,712
2019-07-01,789
2019-08-01,750
2019-09-01,762
2019-10-01,660
2019-11-01,577
2019-12-01,529
2020-01-01,516
2020-02-01,639
2020-03-01,840
2020-04-01,1075
2020-05-01,1124
2020-06-01,1014
2020-07-01,897
2020-08-01,800
2020-09-01,680
2020-10-01,715
2020-11-01,746
2020-12-01,681
2021-01-01,665
2021-02-01,609
2021-03-01,616
2021-04-01,524
2021-05-01,466
2021-06-01,372
2021-07-01,373
2021-08-01,424
2021-09-01,407
2021-10-01,448
2021-11-01,408
2021-12-01,361
2022-01-01,409
2022-02-01,293
2022-03-01,354
2022-04-01,315
2022-05-01,307
2022-06-01,328
2022-07-01,338
2022-08-01,332
2022-09-01,352
2022-10-01,371
2022-11-01,307
2022-12-01,310
2023-01-01,347
2023-02-01,303
2023-03-01,277
2023-04-01,314
2023-05-01,282
2023-06-01,235
2023-07-01,253
2023-08-01,248
2023-09-01,230
2023-10-01,242
2023-11-01,254
2023-12-01,228
2024-01-01,193
2024-02-01,188
2024-03-01,244
2024-04-01,200
2024-05-01,190
2024-06-01,167
2024-07-01,157
2024-08-01,150
2024-09-01,145
2024-10-01,144
2024-11-01,145
2024-12-01,126
2025-01-01,131
2025-02-01,117
2025-03-01,149
2025-04-01,112
2025-05-01,94
2025-06-01,127
2025-07-01,84
2025-08-01,67
2025-09-01,69
2025-10-01,76
2025-11-01,83
2025-12-01,81
2026-01-01,78
2026-02-01,51
