XML: 96GB, 开始提取...
  行:1M 问:500,000 18s
  行:3M 问:1,000,000 35s
  行:4M 问:1,500,000 54s
  行:6M 问:2,000,000 73s
  行:7M 问:2,500,000 93s
  行:9M 问:3,000,000 114s
  行:10M 问:3,500,000 135s
  行:11M 问:4,000,000 157s
  行:13M 问:4,500,000 179s
  行:14M 问:5,000,000 202s
  行:15M 问:5,500,000 225s
  行:17M 问:6,000,000 249s
  行:18M 问:6,500,000 272s
  行:19M 问:7,000,000 296s
  行:20M 问:7,500,000 320s
  行:22M 问:8,000,000 343s
  行:23M 问:8,500,000 368s
  行:24M 问:9,000,000 392s
  行:25M 问:9,500,000 417s
  行:27M 问:10,000,000 442s
  行:28M 问:10,500,000 468s
  行:29M 问:11,000,000 493s
  行:30M 问:11,500,000 518s
  行:31M 问:12,000,000 544s
  行:33M 问:12,500,000 569s
  行:34M 问:13,000,000 595s
  行:35M 问:13,500,000 621s
  行:36M 问:14,000,000 647s
  行:37M 问:14,500,000 673s
  行:38M 问:15,000,000 699s
  行:40M 问:15,500,000 725s
  行:41M 问:16,000,000 752s
  行:42M 问:16,500,000 778s
  行:43M 问:17,000,000 805s
  行:44M 问:17,500,000 832s
  行:46M 问:18,000,000 859s
  行:47M 问:18,500,000 886s
  行:48M 问:19,000,000 913s
  行:49M 问:19,500,000 941s
  行:50M 问:20,000,000 969s
  行:51M 问:20,500,000 997s
  行:52M 问:21,000,000 1025s
  行:54M 问:21,500,000 1053s
  行:55M 问:22,000,000 1081s
  行:56M 问:22,500,000 1109s
  行:57M 问:23,000,000 1137s
  行:58M 问:23,500,000 1168s
  行:59M 问:24,000,000 1199s
✅ 提取 24,101,803 个标题，1206s，2116MB
