year_month,covid_peak,tech_layoff,ai_capability_index,llm_interest,season_m1,season_m2,season_m3,season_m4,season_m5,season_m6,season_m7,season_m8,season_m9,season_m10,season_m11,so_total_questions_lt
2018-01,0,0,0.1,0.0,1,0,0,0,0,0,0,0,0,0,0,11.165068669482377
2018-02,0,0,0.1,0.0,0,1,0,0,0,0,0,0,0,0,0,11.127454142356939
2018-03,0,0,0.1,0.0,0,0,1,0,0,0,0,0,0,0,0,11.242467534979284
2018-04,0,0,0.1,0.0,0,0,0,1,0,0,0,0,0,0,0,11.185087842541353
2018-05,0,0,0.1,0.0,0,0,0,0,1,0,0,0,0,0,0,11.20812436115547
2018-06,0,0,0.1,0.0,0,0,0,0,0,1,0,0,0,0,0,11.124789338983838
2018-07,0,0,0.1,0.0,0,0,0,0,0,0,1,0,0,0,0,11.151582499896955
2018-08,0,0,0.1,0.0,0,0,0,0,0,0,0,1,0,0,0,11.140629140128539
2018-09,0,0,0.1,0.0,0,0,0,0,0,0,0,0,1,0,0,11.054138690929658
2018-10,0,0,0.1,0.0,0,0,0,0,0,0,0,0,0,1,0,11.18035759637473
2018-11,0,0,0.1,0.0,0,0,0,0,0,0,0,0,0,0,1,11.130991319388428
2018-12,0,0,0.1,0.0,0,0,0,0,0,0,0,0,0,0,0,11.000348308165432
2019-01,0,0,0.1,0.0,1,0,0,0,0,0,0,0,0,0,0,11.09686441764866
2019-02,0,0,0.1,0.0,0,1,0,0,0,0,0,0,0,0,0,11.089102884825811
2019-03,0,0,0.1,0.0,0,0,1,0,0,0,0,0,0,0,0,11.19238956764737
2019-04,0,0,0.1,0.0,0,0,0,1,0,0,0,0,0,0,0,11.166059399165
2019-05,0,0,0.1,0.0,0,0,0,0,1,0,0,0,0,0,0,11.135245742870001
2019-06,0,0,0.1,0.0,0,0,0,0,0,1,0,0,0,0,0,11.021771741001702
2019-07,0,0,0.1,0.0,0,0,0,0,0,0,1,0,0,0,0,11.128056786660714
2019-08,0,0,0.1,0.0,0,0,0,0,0,0,0,1,0,0,0,11.02765387128589
2019-09,0,0,0.1,0.0,0,0,0,0,0,0,0,0,1,0,0,11.030395710359086
2019-10,0,0,0.1,0.0,0,0,0,0,0,0,0,0,0,1,0,11.165875480711094
2019-11,0,0,0.1,0.0,0,0,0,0,0,0,0,0,0,0,1,11.143527062898457
2019-12,0,0,0.1,0.0,0,0,0,0,0,0,0,0,0,0,0,11.02679245379461
2020-01,0,0,0.1,0.0,1,0,0,0,0,0,0,0,0,0,0,11.112597140967216
2020-02,0,0,0.1,0.0,0,1,0,0,0,0,0,0,0,0,0,11.113462309057699
2020-03,1,0,0.1,0.0,0,0,1,0,0,0,0,0,0,0,0,11.215610477950067
2020-04,1,0,0.1,0.0,0,0,0,1,0,0,0,0,0,0,0,11.394569765373147
2020-05,1,0,0.1,0.0,0,0,0,0,1,0,0,0,0,0,0,11.415577209700327
2020-06,1,0,0.1,0.0,0,0,0,0,0,1,0,0,0,0,0,11.316168213099942
2020-07,1,0,0.1,0.0,0,0,0,0,0,0,1,0,0,0,0,11.2842541637587
2020-08,1,0,0.1,0.0,0,0,0,0,0,0,0,1,0,0,0,11.176529225461161
2020-09,1,0,0.1,0.0,0,0,0,0,0,0,0,0,1,0,0,11.12242778398385
2020-10,1,0,0.1,0.0,0,0,0,0,0,0,0,0,0,1,0,11.143700671498307
2020-11,1,0,0.1,0.0,0,0,0,0,0,0,0,0,0,0,1,11.10682015197464
2020-12,1,0,0.1,0.0,0,0,0,0,0,0,0,0,0,0,0,11.095149893084974
2021-01,1,0,0.1,0.0,1,0,0,0,0,0,0,0,0,0,0,11.125761858031977
2021-02,1,0,0.1,0.0,0,1,0,0,0,0,0,0,0,0,0,11.058369897608577
2021-03,1,0,0.1,0.0,0,0,1,0,0,0,0,0,0,0,0,11.171434656356537
2021-04,1,0,0.1,0.0,0,0,0,1,0,0,0,0,0,0,0,11.10185467434123
2021-05,1,0,0.1,0.0,0,0,0,0,1,0,0,0,0,0,0,11.09455747150654
2021-06,1,0,0.1,0.0,0,0,0,0,0,1,0,0,0,0,0,11.035502379504564
2021-07,0,0,0.1,0.0,0,0,0,0,0,0,1,0,0,0,0,10.995159143524907
2021-08,0,0,0.1,0.0,0,0,0,0,0,0,0,1,0,0,0,10.972258999193217
2021-09,0,0,0.1,0.0,0,0,0,0,0,0,0,0,1,0,0,10.955863912197044
2021-10,0,0,0.27,0.0,0,0,0,0,0,0,0,0,0,1,0,10.97937695409697
2021-11,0,0,0.27,0.0,0,0,0,0,0,0,0,0,0,0,1,10.98850788768477
2021-12,0,0,0.27,0.0,0,0,0,0,0,0,0,0,0,0,0,10.927627700184981
2022-01,0,0,0.27,0.0,1,0,0,0,0,0,0,0,0,0,0,10.971039078250866
2022-02,0,0,0.27,0.0,0,1,0,0,0,0,0,0,0,0,0,10.916505641362713
2022-03,0,0,0.27,0.0,0,0,1,0,0,0,0,0,0,0,0,11.003265827844206
2022-04,0,0,0.27,0.0,0,0,0,1,0,0,0,0,0,0,0,10.959748900663708
2022-05,0,0,0.27,0.0,0,0,0,0,1,0,0,0,0,0,0,10.957433661708343
2022-06,0,0,0.29500000000000004,0.0,0,0,0,0,0,1,0,0,0,0,0,10.904119432844034
2022-07,0,0,0.37,0.0,0,0,0,0,0,0,1,0,0,0,0,10.894533190114505
2022-08,0,0,0.37,0.0,0,0,0,0,0,0,0,1,0,0,0,10.905258489754683
2022-09,0,0,0.37,0.0,0,0,0,0,0,0,0,0,1,0,0,10.827607555524617
