lang,year_month,tag_entropy,unique_tags,tag_concentration,ari,ari_centered,did_copilot_beta,did_copilot_ga,did_chatgpt,did_gpt4,did_llama2,did_code_llama,did_devin,covid,unique_tags_lt
assembly,2018-01,3.685811345184573,166,0.4764079147640791,0.089,-0.5539230769230771,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,5.117993812416755
assembly,2018-02,3.873038245733525,211,0.4681647940074906,0.089,-0.5539230769230771,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,5.356586274672012
assembly,2018-03,3.6673060899384855,197,0.522093023255814,0.089,-0.5539230769230771,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,5.288267030694535
assembly,2018-04,3.7675667572697487,205,0.4907621247113164,0.089,-0.5539230769230771,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,5.327876168789581
assembly,2018-05,3.8267494454088817,212,0.4758269720101781,0.089,-0.5539230769230771,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,5.3612921657094255
assembly,2018-06,3.7558184947937336,166,0.48028673835125446,0.089,-0.5539230769230771,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,5.117993812416755
assembly,2018-07,3.8150672720530525,163,0.4667931688804554,0.089,-0.5539230769230771,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,5.099866427824199
assembly,2018-08,3.9546012665647714,183,0.44090056285178236,0.089,-0.5539230769230771,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,5.214935757608986
assembly,2018-09,3.832173089285968,197,0.4796195652173913,0.089,-0.5539230769230771,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,5.288267030694535
assembly,2018-10,3.663458174748185,195,0.5023255813953489,0.089,-0.5539230769230771,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,5.278114659230517
assembly,2018-11,3.8317439982892028,213,0.46565774155995343,0.089,-0.5539230769230771,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,5.365976015021851
assembly,2018-12,3.706802834026061,169,0.4806451612903226,0.089,-0.5539230769230771,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,5.135798437050262
assembly,2019-01,3.7190316968270873,170,0.4928909952606635,0.089,-0.5539230769230771,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,5.14166355650266
assembly,2019-02,3.6716726874445476,165,0.5078864353312302,0.089,-0.5539230769230771,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,5.111987788356544
assembly,2019-03,3.8277436816241557,208,0.47846332945285214,0.089,-0.5539230769230771,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,5.342334251964811
assembly,2019-04,3.7421079805375714,206,0.4963768115942029,0.089,-0.5539230769230771,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,5.332718793265369
assembly,2019-05,3.7790544950535896,186,0.4843304843304843,0.089,-0.5539230769230771,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,5.231108616854587
assembly,2019-06,3.7709937853592095,172,0.4830508474576271,0.089,-0.5539230769230771,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,5.153291594497779
assembly,2019-07,3.8579580193191916,166,0.45774647887323944,0.089,-0.5539230769230771,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,5.117993812416755
assembly,2019-08,3.8349676286970227,149,0.4418604651162791,0.089,-0.5539230769230771,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,5.0106352940962555
assembly,2019-09,3.581401862341617,156,0.5290215588723052,0.089,-0.5539230769230771,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,5.056245805348308
assembly,2019-10,3.93254498298942,240,0.46021505376344085,0.089,-0.5539230769230771,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,5.484796933490655
assembly,2019-11,3.90411127590765,208,0.4524390243902439,0.089,-0.5539230769230771,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,5.342334251964811
assembly,2019-12,3.7861461892075594,171,0.47503566333808844,0.089,-0.5539230769230771,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,5.147494476813453
assembly,2020-01,3.6694964537745056,162,0.502495840266223,0.089,-0.5539230769230771,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,5.093750200806762
assembly,2020-02,3.852927293903324,196,0.46344647519582244,0.089,-0.5539230769230771,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,5.2832037287379885
assembly,2020-03,3.795452244768682,205,0.48623853211009177,0.089,-0.5539230769230771,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1,5.327876168789581
assembly,2020-04,3.982973757343269,255,0.45385266723116,0.089,-0.5539230769230771,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1,5.545177444479562
assembly,2020-05,4.056935253898592,271,0.44824482448244823,0.089,-0.5539230769230771,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1,5.605802066295998
assembly,2020-06,3.9449717068316983,233,0.45714285714285713,0.089,-0.5539230769230771,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1,5.455321115357702
assembly,2020-07,3.920628888698159,202,0.4601226993865031,0.089,-0.5539230769230771,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1,5.313205979041787
assembly,2020-08,3.7304968565956043,181,0.4928478543563069,0.089,-0.5539230769230771,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1,5.204006687076795
assembly,2020-09,3.7160928288000097,205,0.5,0.089,-0.5539230769230771,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1,5.327876168789581
assembly,2020-10,3.9719357681507415,259,0.45901639344262296,0.089,-0.5539230769230771,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1,5.560681631015528
assembly,2020-11,3.941212752407882,258,0.4611872146118721,0.089,-0.5539230769230771,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1,5.556828061699537
assembly,2020-12,4.005357735853431,239,0.45296523517382414,0.089,-0.5539230769230771,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1,5.480638923341991
assembly,2021-01,3.946056730153743,224,0.4616252821670429,0.089,-0.5539230769230771,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1,5.41610040220442
assembly,2021-02,3.790479777450758,175,0.46996996996997,0.089,-0.5539230769230771,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1,5.170483995038151
assembly,2021-03,3.9622332247378025,236,0.4540918163672655,0.089,-0.5539230769230771,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1,5.4680601411351315
assembly,2021-04,3.8062651809359673,202,0.4702517162471396,0.089,-0.5539230769230771,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1,5.313205979041787
assembly,2021-05,3.904714145374297,218,0.46275395033860045,0.089,-0.5539230769230771,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1,5.389071729816501
assembly,2021-06,3.7126626000974707,185,0.47911227154047,0.089,-0.5539230769230771,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1,5.225746673713202
assembly,2021-07,3.9021438072271546,166,0.43148148148148147,0.089,-0.5539230769230771,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1,5.117993812416755
assembly,2021-08,3.713163931562801,143,0.47751605995717344,0.089,-0.5539230769230771,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1,4.969813299576001
assembly,2021-09,3.955258263294585,184,0.43577235772357725,0.089,-0.5539230769230771,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1,5.220355825078324
assembly,2021-10,3.8397591462345186,164,0.4510433386837881,0.089,-0.5539230769230771,-0.5539230769230771,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1,5.10594547390058
assembly,2021-11,3.9088934810978695,234,0.4781144781144781,0.089,-0.5539230769230771,-0.5539230769230771,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1,5.459585514144159
assembly,2021-12,3.8768196749445956,202,0.46941489361702127,0.089,-0.5539230769230771,-0.5539230769230771,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1,5.313205979041787
assembly,2022-01,3.850592411530413,192,0.463855421686747,0.089,-0.5539230769230771,-0.5539230769230771,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,5.262690188904886
assembly,2022-02,3.8430380119823644,179,0.4643478260869565,0.089,-0.5539230769230771,-0.5539230769230771,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,5.19295685089021
assembly,2022-03,3.8682731393862664,199,0.46013986013986014,0.089,-0.5539230769230771,-0.5539230769230771,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,5.298317366548036
assembly,2022-04,3.9659963837303955,208,0.44951590594744123,0.089,-0.5539230769230771,-0.5539230769230771,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,5.342334251964811
assembly,2022-05,3.908375263411729,199,0.44414535666218036,0.089,-0.5539230769230771,-0.5539230769230771,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0,5.298317366548036
assembly,2022-06,4.00724080431812,211,0.4451697127937337,0.089,-0.5539230769230771,-0.5539230769230771,-0.5539230769230771,-0.0,-0.0,-0.0,-0.0,-0.0,0,5.356586274672012
assembly,2022-07,3.830632463194845,161,0.4509151414309484,0.089,-0.5539230769230771,-0.5539230769230771,-0.5539230769230771,-0.0,-0.0,-0.0,-0.0,-0.0,0,5.087596335232384
assembly,2022-08,3.926336725696787,166,0.4321705426356589,0.089,-0.5539230769230771,-0.5539230769230771,-0.5539230769230771,-0.0,-0.0,-0.0,-0.0,-0.0,0,5.117993812416755
assembly,2022-09,3.762807701772224,149,0.45623836126629425,0.089,-0.5539230769230771,-0.5539230769230771,-0.5539230769230771,-0.0,-0.0,-0.0,-0.0,-0.0,0,5.0106352940962555
assembly,2022-10,3.6928662555821212,167,0.478134110787172,0.089,-0.5539230769230771,-0.5539230769230771,-0.5539230769230771,-0.0,-0.0,-0.0,-0.0,-0.0,0,5.123963979403259
assembly,2022-11,3.931783425615224,216,0.4523809523809524,0.089,-0.5539230769230771,-0.5539230769230771,-0.5539230769230771,-0.5539230769230771,-0.0,-0.0,-0.0,-0.0,0,5.37989735354046
assembly,2022-12,3.9194146743343943,204,0.4485294117647059,0.089,-0.5539230769230771,-0.5539230769230771,-0.5539230769230771,-0.5539230769230771,-0.0,-0.0,-0.0,-0.0,0,5.3230099791384085
assembly,2023-01,3.9027880408195523,198,0.46078431372549017,0.089,-0.5539230769230771,-0.5539230769230771,-0.5539230769230771,-0.5539230769230771,-0.0,-0.0,-0.0,-0.0,0,5.293304824724492
assembly,2023-02,3.961544047841645,165,0.41392649903288203,0.089,-0.5539230769230771,-0.5539230769230771,-0.5539230769230771,-0.5539230769230771,-0.0,-0.0,-0.0,-0.0,0,5.111987788356544
