variable,coefficient,std_error,t_stat,p_value,sig,model,n_obs,n_clusters
did_copilot_beta,0.12008854873317948,0.4157702252241945,0.2888339314543857,0.7776373654279816,,M1_tag_entropy,975,13
did_copilot_ga,0.09356634832408628,0.3079872189808512,0.30379945191785274,0.766483879509779,,M1_tag_entropy,975,13
did_chatgpt,0.09739221249176358,0.24001174927055147,0.40578102025321655,0.692045520509696,,M1_tag_entropy,975,13
did_gpt4,0.13547723512366217,0.1850198371178154,0.7322308636419029,0.47808587204528763,,M1_tag_entropy,975,13
did_llama2,-0.04355781735726583,0.12807982169036738,-0.3400833697486457,0.7396726228165293,,M1_tag_entropy,975,13
did_code_llama,0.10348783039512924,0.11399942500065317,0.9077925646952718,0.38185677685186215,,M1_tag_entropy,975,13
did_devin,0.12461789812077989,0.01456946694564786,8.553360159686921,1.8836522945875345e-06,***,M1_tag_entropy,975,13
covid_peak,0.003830696800332961,1.0238892896754086,0.0037413193388782895,0.9970763436251384,,M1_tag_entropy,975,13
tech_layoff,0.1659277057246872,0.6008427160470182,0.276158304483303,0.7871250031508661,,M1_tag_entropy,975,13
llm_interest,0.5813997457879266,0.5452555190828418,1.066288603122958,0.30727688815559406,,M1_tag_entropy,975,13
so_total_questions_lt,0.3918027332686853,54.37716173895835,0.007205281054380215,0.9943694670901655,,M1_tag_entropy,975,13
season_m1,-0.06737388724779753,0.4679662976711438,-0.14397166544489814,0.8879123960541759,,M1_tag_entropy,975,13
season_m2,0.014145553789918691,0.45155767561214555,0.03132612854103862,0.9755244517204693,,M1_tag_entropy,975,13
season_m3,-0.018914514752054405,0.4598971691032797,-0.04112770424078594,0.9678704606484212,,M1_tag_entropy,975,13
season_m4,-0.014220541473366734,0.39043328779625125,-0.03642246170564167,0.9715443879668859,,M1_tag_entropy,975,13
season_m5,-0.01696582556083759,0.3946702592544845,-0.04298734237762257,0.9664186333856422,,M1_tag_entropy,975,13
season_m6,0.006034522072096822,0.40554517394295897,0.014880024371700683,0.9883724309543449,,M1_tag_entropy,975,13
season_m7,0.030599002225682806,0.39990111982049736,0.07651642045768141,0.9402691829554382,,M1_tag_entropy,975,13
season_m8,0.035169977950083316,0.3965514550078993,0.0886895698047123,0.9307915900088748,,M1_tag_entropy,975,13
season_m9,0.025513759195336577,0.39984401773212264,0.06380928077916033,0.9501727006844105,,M1_tag_entropy,975,13
season_m10,-0.029779930095382767,0.4101271071880761,-0.07261146501522585,0.9433115445937772,,M1_tag_entropy,975,13
season_m11,-0.005924053245682424,0.4035667828412286,-0.014679238970004792,0.9885293166666573,,M1_tag_entropy,975,13
