term,estimate,std_error,statistic,p_value,stars,ci_lo,ci_hi
const,9.486769009248164e-20,8.052974315865796e-05,1.178045357795012e-15,0.9999999999999991,,-0.0001578382965909695,0.0001578382965909697
post_copilot_beta,-2.1540564054310546e-18,1.868819681677766e-18,-1.1526293449013831,0.24906255320466142,,-5.816942981519476e-18,1.5088301706573665e-18
post_copilot_ga,-1.5640214028627001e-18,9.780791349792917e-19,-1.599074499115876,0.10980405012108299,,-3.4810565074221114e-18,3.5301370169671152e-19
post_chatgpt,-3.360036658184246e-19,3.3641979110564656e-18,-0.09987630772676769,0.9204425259789483,,-6.929831571489097e-18,6.257824239852248e-18
post_gpt4,-4.0585287791927673e-19,1.751438928792733e-18,-0.2317253951863632,0.816751305672474,,-3.838673178353034e-18,3.0269674225144802e-18
post_llama2,-1.3941972643467896e-19,1.0001042810677198e-18,-0.1394051891127126,0.8891299720816994,,-2.0996241173274098e-18,1.820784664458052e-18
post_code_llama,2.125697036530559e-18,4.372115773468192e-18,0.4861941326966153,0.6268295309222842,,-6.443649879467097e-18,1.0695043952528216e-17
post_devin,0.0,0.0,,,,0.0,0.0
post_claude35,0.0,0.0,,,,0.0,0.0
did_copilot_beta,-0.00015620572177830452,0.0009767507863187635,-0.15992382495746119,0.8729410804611482,,-0.002070637262963081,0.001758225819406472
did_copilot_ga,-0.0024049717878577835,0.0017851726262002874,-1.3471928443002898,0.17791813197363726,,-0.0059039101352103465,0.00109396655949478
did_chatgpt,-2.1622768614273543e-05,0.0018113779973534848,-0.011937192924870185,0.9904757242625699,,-0.0035719236434271035,0.0035286781061985564
did_gpt4,-0.007494461239820881,0.0042168482547859385,-1.7772660496651724,0.07552447674129248,†,-0.015759483819201323,0.0007705613395595588
did_llama2,0.001222329732352023,0.008163134641476453,0.1497377889789335,0.8809714929818331,,-0.014777414164941823,0.01722207362964587
did_code_llama,-0.0010734578398018718,0.007669775031801627,-0.1399594949461923,0.8886919936629576,,-0.01610621690213306,0.013959301222529317
did_devin,0.0,0.0,,,,0.0,0.0
did_claude35,0.0,0.0,,,,0.0,0.0
