variable,coefficient,std_error,t_stat,p_value,sig,model
const,-8.888898162256306e-19,4.136069328019553e-18,-0.21491173037257863,0.8298814533904151,,M_gini
did_copilot_beta,-0.01442569529989084,0.01639484110185672,-0.8798923521288123,0.3791362374222973,,M_gini
did_copilot_ga,0.0011368645939872427,0.02494890837421591,0.045567708892713096,0.9636642151503461,,M_gini
did_chatgpt,-0.023479236192989004,0.031959433424763685,-0.7346574603164329,0.4627262460034247,,M_gini
did_gpt4,0.018880472051054236,0.008754520827472021,2.156653964635802,0.03127855727042217,**,M_gini
did_llama2,-0.0919952235177738,0.038542164556508204,-2.386872262529416,0.017183764922140687,**,M_gini
did_code_llama,0.05595643201027254,0.026846984495449783,2.084272519312418,0.03739736775399938,**,M_gini
did_devin,0.012730695878937616,0.011882329779087849,1.0713972861906962,0.2842581565994955,,M_gini
const,5.555561351410192e-19,5.549952914042958e-18,0.10010105378287161,0.9202848473886682,,M_top10_share
did_copilot_beta,-0.005935827765489123,0.015468434291376504,-0.3837381116716051,0.7012569168455933,,M_top10_share
did_copilot_ga,-0.0008013183293822248,0.021757435333042724,-0.036829631669191884,0.9706284487319627,,M_top10_share
did_chatgpt,-0.011697219567004813,0.022668305277281958,-0.5160165007451041,0.6059608497354181,,M_top10_share
did_gpt4,0.01451683750464491,0.009621970146605456,1.5087177868418475,0.13169755983150844,,M_top10_share
did_llama2,-0.06121996536857612,0.045568261558364354,-1.3434781858018632,0.17943236280313557,,M_top10_share
did_code_llama,0.043070211249415236,0.03195517969732358,1.34783192137776,0.17802811404899832,,M_top10_share
did_devin,-0.006483856450615727,0.0248919228268487,-0.26048033716471947,0.7945487363372199,,M_top10_share
const,-2.0833355067788217e-20,1.1519161074370687e-19,-0.1808582667894188,0.8565167242924456,,M_hhi
did_copilot_beta,0.0002975082993085104,0.0013218991125415658,0.22506127471142814,0.8219791570567097,,M_hhi
did_copilot_ga,-0.002165041869001872,0.000886295476435849,-2.4427991866870147,0.01475190939166593,**,M_hhi
did_chatgpt,0.0008262326810291709,0.0020523968901258196,0.4025696418681085,0.6873538215653077,,M_hhi
did_gpt4,-0.005614250176824277,0.004777366130467653,-1.1751768701627023,0.24021323877581446,,M_hhi
did_llama2,-0.006117523016712997,0.0013312880858372476,-4.595190989684013,4.8954617051233384e-06,***,M_hhi
did_code_llama,0.004222091226536437,0.0010419576152185255,4.0520757897152615,5.48376720106436e-05,***,M_hhi
did_devin,-0.003321756901410537,0.004247659636202555,-0.782020497381522,0.4343939648775468,,M_hhi
