term,estimate,std_error,statistic,p_value,stars,ci_lo,ci_hi
const,-1.5368565794982025e-17,0.0006233212135163629,-2.4655932546050884e-14,0.9999999999999803,,-0.0012217095784920868,0.001221709578492056
post_copilot_beta,-5.081574076956075e-18,1.1867414863511922e-17,-0.4281955367196361,0.6685087655246498,,-2.8341707209439445e-17,1.8178559055527293e-17
post_copilot_ga,-7.459270930364207e-19,9.444757556927113e-18,-0.0789778973722128,0.9370502034802387,,-1.9257651904613562e-17,1.776579771854072e-17
post_chatgpt,-3.2876939912623148e-18,2.531733650072151e-17,-0.12985939461556786,0.8966776705875502,,-5.290967353267647e-17,4.6334285550151846e-17
post_gpt4,-1.0502314604072846e-18,1.3343894208556841e-17,-0.07870501998837927,0.9372672524960377,,-2.7204264109178693e-17,2.5103801188364125e-17
post_llama2,-9.957144873269672e-19,7.737911864489401e-18,-0.12867999852731213,0.8976108626738895,,-1.6162021741726193e-17,1.417059276707226e-17
post_code_llama,1.0968872181072656e-17,3.218246105792141e-17,0.34083385236856434,0.733228664199182,,-5.2108751492453306e-17,7.404649585459862e-17
post_devin,0.0,0.0,,,,0.0,0.0
post_claude35,0.0,0.0,,,,0.0,0.0
did_copilot_beta,-0.007502656335410321,0.01146259014572906,-0.6545341183821177,0.5127677533931065,,-0.02996933302103928,0.014964020350218637
did_copilot_ga,-0.0069578175900142725,0.016400247176487224,-0.4242507759266937,0.6713829338211608,,-0.03910230205592923,0.02518666687590069
did_chatgpt,0.000352654215080714,0.020810079795799283,0.016946317291483944,0.9864794422074689,,-0.040435102184685885,0.04114041061484731
did_gpt4,-0.012660665129774668,0.026142172243424088,-0.4843004250711945,0.6281726743203753,,-0.06389932272688588,0.03857799246733655
did_llama2,0.014388491518827885,0.059442212795707924,0.2420584773362747,0.8087348518214598,,-0.10211824556075964,0.1308952285984154
did_code_llama,-0.013048941830244356,0.05706612472473902,-0.22866353538437215,0.8191304384480628,,-0.12489854629073284,0.09880066263024413
did_devin,0.0,0.0,,,,0.0,0.0
did_claude35,0.0,0.0,,,,0.0,0.0
