term,estimate,std_error,statistic,p_value,stars,ci_lo,ci_hi
const,8.88910256166553e-17,0.00042449933679382097,2.0940203649795006e-13,0.9999999999998329,,-0.0008320187001158002,0.000832018700115978
post_copilot_beta,5.44756668578854e-18,6.1594203762786915e-18,0.8844284612831981,0.3764649646291327,,-6.6248972517176956e-18,1.7520030623294775e-17
post_copilot_ga,3.929078712584838e-18,9.573276446921953e-18,0.410421524372477,0.6814967594520964,,-1.483454312338219e-17,2.2692700548551865e-17
post_chatgpt,-4.166623781344854e-18,9.756557282121092e-18,-0.4270588139712149,0.6693364903163762,,-2.3289476054302194e-17,1.4956228491612485e-17
post_gpt4,8.594085924082898e-19,9.602368437267587e-18,0.08949964771949948,0.9286848335404049,,-1.796123354463618e-17,1.968005072945276e-17
post_llama2,7.340523520818879e-19,4.338081629977543e-18,0.16921128155112378,0.8656304563541531,,-7.768587642674096e-18,9.236692346837872e-18
post_code_llama,-1.151126225640888e-17,1.3600495820419309e-17,-0.8463854853825457,0.3973377329167006,,-3.816823406443073e-17,1.5145709551612964e-17
post_devin,0.0,0.0,,,,0.0,0.0
post_claude35,0.0,0.0,,,,0.0,0.0
did_copilot_beta,-0.0061761651996002035,0.010247499035742303,-0.602699759039579,0.5467084418931963,,-0.02626126330965512,0.013908932910454712
did_copilot_ga,-5.622272823821359e-05,0.01592232571441805,-0.0035310625625063403,0.9971826255528417,,-0.03126398112849759,0.031151535672021162
did_chatgpt,-0.011792040003891535,0.02598924112919253,-0.45372775392991654,0.6500247884023008,,-0.0627309526171089,0.039146872609325825
did_gpt4,0.01636740996889402,0.02595755023321325,0.6305452487558538,0.5283379078154751,,-0.03450938848820395,0.06724420842599199
did_llama2,-0.024875994608388404,0.01785400321261633,-1.3933006683235085,0.16352888863876702,,-0.059869840905116406,0.010117851688339601
did_code_llama,-0.014058109335505895,0.01750686337195672,-0.8030056005363477,0.4219714975083346,,-0.048371561544541065,0.02025534287352928
did_devin,0.0,0.0,,,,0.0,0.0
did_claude35,0.0,0.0,,,,0.0,0.0
