term,estimate,std_error,statistic,p_value,stars,ci_lo,ci_hi
const,4.543587728278453e-14,1.883126543693433,2.412789381305718e-14,0.9999999999999808,,-3.6909280256390833,3.690928025639174
post_copilot_beta,-9.787565215298586e-15,2.963301476377272e-14,-0.3302925906568301,0.7411788908985817,,-6.786827415229312e-14,4.829314372169595e-14
post_copilot_ga,-1.3166699725079956e-16,2.1853467168317295e-14,-0.006024993482118373,0.9951927798058174,,-4.2964462647152695e-14,4.27011286526511e-14
post_chatgpt,-3.6858758990228414e-14,4.5628947796852455e-14,-0.8077933147687218,0.4192095742483267,,-1.2629149667205922e-13,5.257397869160239e-14
post_gpt4,-2.0992608455618832e-14,3.020135375724079e-14,-0.6950883269789138,0.4869999496560887,,-8.018726181981078e-14,3.8202044908573105e-14
post_llama2,-1.165130307867738e-14,1.4522376577343633e-14,-0.8023000241471898,0.42237942845570986,,-4.0115161170270903e-14,1.681255501291614e-14
post_code_llama,3.9330410986749546e-15,5.876474185117587e-14,0.06692858633899121,0.9466385554474948,,-1.1124585292962976e-13,1.1911193512697967e-13
post_devin,0.0,0.0,,,,0.0,0.0
post_claude35,0.0,0.0,,,,0.0,0.0
did_copilot_beta,50.314819635405485,27.369401573666064,1.8383602396267498,0.06600933991470197,†,-3.32920744898,103.95884671979097
did_copilot_ga,-12.998936256305548,45.20850949438208,-0.2875329534569346,0.7737042734968098,,-101.60761486529441,75.60974235268333
did_chatgpt,-33.23081580172159,54.00146523385963,-0.6153687804175623,0.5383112040675861,,-139.07368766008648,72.61205605664328
did_gpt4,17.039616053093482,82.87202026668926,0.20561361963010602,0.8370927379167208,,-145.38954366961747,179.46877577580443
did_llama2,20.362684814876122,102.864736254571,0.19795593277449602,0.8430795419335675,,-181.25219824408302,221.97756787383528
did_code_llama,-66.55090675312191,100.17920358881723,-0.6643185847861025,0.5064864286556522,,-262.90214578720366,129.80033228095988
did_devin,0.0,0.0,,,,0.0,0.0
did_claude35,0.0,0.0,,,,0.0,0.0
