lang,year_month,n_questions,total_answers,avg_answers,pct_accepted,avg_views,total_views,n_users,ari,ari_centered,covid,post_copilot_beta,did_copilot_beta,post_copilot_ga,did_copilot_ga,post_chatgpt,did_chatgpt,post_gpt4,did_gpt4,post_llama2,did_llama2,post_code_llama,did_code_llama,post_devin,did_devin,avg_answers_lt,n_questions_lt,avg_views_lt,total_views_lt,views_per_q,views_per_q_lt
assembly,2018-01,195,196,1.005128205128205,0.48717948717948717,2729.0410256410255,532163,167,0.089,-0.5539230769230771,0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0.6957080014216189,5.278114659230517,7.912071915773426,13.184706991494831,2729.0410256410255,7.912071915773426
assembly,2018-02,228,203,0.8903508771929824,0.42105263157894735,1591.7149122807018,362911,195,0.089,-0.5539230769230771,0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0.636762461149307,5.43372200355424,7.373195331107545,12.801915659615057,1591.7149122807018,7.373195331107545
assembly,2018-03,254,204,0.8031496062992126,0.3779527559055118,1427.5708661417323,362603,203,0.089,-0.5539230769230771,0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0.5895349170956484,5.541263545158426,7.2644298292200045,12.801066608681644,1427.5708661417323,7.2644298292200045
assembly,2018-04,258,224,0.8682170542635659,0.41472868217054265,1167.2790697674418,301158,207,0.089,-0.5539230769230771,0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0.6249845291289828,5.556828061699537,7.063287064444455,12.615393643464456,1167.2790697674418,7.063287064444455
assembly,2018-05,227,179,0.788546255506608,0.3656387665198238,923.7885462555066,209700,188,0.089,-0.5539230769230771,0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0.58140314212033,5.429345628954441,6.829565112737077,12.253437985595856,923.7885462555066,6.829565112737077
assembly,2018-06,160,133,0.83125,0.34375,1868.93125,299029,138,0.089,-0.5539230769230771,0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0.6049987937832404,5.081404364984463,7.5336569444669115,12.60829918178782,1868.93125,7.5336569444669115
assembly,2018-07,144,128,0.8888888888888888,0.5208333333333334,1162.923611111111,167461,114,0.089,-0.5539230769230771,0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0.6359887667199967,4.976733742420574,7.059551999944687,12.028511738837707,1162.923611111111,7.059551999944687
assembly,2018-08,142,127,0.8943661971830986,0.4154929577464789,1251.6971830985915,177741,123,0.089,-0.5539230769230771,0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0.6388843220005784,4.962844630259907,7.133054252183605,12.088088339620292,1251.6971830985915,7.133054252183605
assembly,2018-09,205,188,0.9170731707317074,0.43902439024390244,1331.1853658536586,272893,174,0.089,-0.5539230769230771,0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0.6507996327308531,5.327876168789581,7.1945760049717835,12.516838720379248,1331.1853658536586,7.1945760049717835
assembly,2018-10,267,236,0.8838951310861424,0.3782771535580524,1665.1573033707866,444597,219,0.089,-0.5539230769230771,0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0.6333415116994897,5.5909869805108565,7.418275238059908,13.004925782076564,1665.1573033707866,7.418275238059908
assembly,2018-11,248,199,0.8024193548387096,0.41935483870967744,1499.1774193548388,371796,206,0.089,-0.5539230769230771,0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0.5891298484485866,5.517452896464707,7.3133386596657175,12.826103285382704,1499.1774193548388,7.3133386596657175
assembly,2018-12,177,169,0.9548022598870056,0.3728813559322034,1278.5593220338983,226305,135,0.089,-0.5539230769230771,0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0.6702890424838951,5.181783550292085,7.154271017974797,12.329643344747836,1278.5593220338983,7.154271017974797
assembly,2019-01,178,159,0.8932584269662921,0.42696629213483145,1800.9550561797753,320570,150,0.089,-0.5539230769230771,0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0.6382993800602765,5.187385805840755,7.496627496780543,12.677859059670121,1800.9550561797753,7.496627496780543
assembly,2019-02,181,184,1.0165745856353592,0.5027624309392266,1530.4475138121547,277011,146,0.089,-0.5539230769230771,0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0.7014003223166658,5.204006687076795,7.333968654586741,12.531816105530774,1530.4475138121547,7.333968654586741
assembly,2019-03,238,201,0.8445378151260504,0.3907563025210084,1251.0168067226891,297742,194,0.089,-0.5539230769230771,0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0.6122287394036967,5.476463551931511,7.132510975469856,12.603985977285438,1251.0168067226891,7.132510975469856
assembly,2019-04,245,214,0.8734693877551021,0.3836734693877551,1261.391836734694,309041,203,0.089,-0.5539230769230771,0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0.6277919995158182,5.5053315359323625,7.140763483605789,12.641232468973376,1261.391836734694,7.140763483605789
assembly,2019-05,191,191,1.0,0.5026178010471204,1032.5602094240837,197219,160,0.089,-0.5539230769230771,0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0.6931471805599453,5.2574953720277815,6.940764635213084,12.19207513588632,1032.5602094240837,6.940764635213084
assembly,2019-06,161,161,1.0,0.453416149068323,1243.9937888198758,200283,131,0.089,-0.5539230769230771,0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0,-0.0,0.6931471805599453,5.087596335232384,7.126885819986665,12.207491638283587,1243.9937888198758,7.126885819986665
