month,month_dt,issues_assembly,issues_c,issues_cpp,issues_csharp,issues_go,issues_haskell,issues_java,issues_javascript,issues_python,issues_r,issues_ruby,issues_rust,issues_typescript,repos_assembly,repos_c,repos_cpp,repos_csharp,repos_go,repos_haskell,repos_java,repos_javascript,repos_python,repos_r,repos_ruby,repos_rust,repos_typescript
2018-01,2018-01-01,392,22996,40430,31108,24240,2404,67770,119319,81700,6267,15880,6403,45908,890,19059,28780,31628,8516,1101,112222,136961,74896,6741,15324,1976,18774
2018-02,2018-02-01,594,17642,39460,28797,22423,2193,64101,116280,77552,6559,15637,6219,45185,893,17977,28430,30364,8278,1149,106594,131244,71377,6778,16851,1979,18765
2018-03,2018-03-01,437,22997,44060,33794,26910,2707,76402,132954,89292,7261,16151,6514,52571,1095,22489,35576,35103,9656,1343,133417,158978,87439,7373,17639,2217,22044
2018-04,2018-04-01,380,20702,42105,32391,26071,2254,69774,123155,85018,6725,15386,6593,49414,1149,21435,34289,35148,9353,1216,126690,152180,82465,6881,17557,2080,20953
2018-05,2018-05-01,397,21371,41754,33255,26023,2608,65990,124100,86149,7084,15611,6577,52010,1017,19350,32284,34240,9630,1265,125434,154048,81186,6522,17946,2127,22895
2018-06,2018-06-01,385,18585,38312,31036,26966,2466,65637,112976,79315,6479,14244,6284,50710,795,15529,26939,30505,8913,902,110540,147230,75919,6011,17023,1912,22577
2018-07,2018-07-01,431,19581,43323,30082,26125,2529,57697,111448,81837,5875,13804,6787,52153,679,14742,24975,29250,9601,958,111836,150537,78058,6036,18785,2008,22854
2018-08,2018-08-01,377,19849,39908,29674,30495,2306,67025,114292,82729,6177,14959,7681,53500,717,16041,26613,28783,10176,908,114607,151345,77633,6407,18445,2179,23251
2018-09,2018-09-01,417,19356,37630,29230,27048,1830,60789,111572,81198,5729,14445,9426,53046,1064,19990,31182,33882,9820,945,127545,152471,84509,6816,16606,2275,23194
2018-10,2018-10-01,516,21868,43198,33662,29921,2573,75325,128169,95295,6935,18173,8159,61232,1274,21934,36346,38453,10806,1083,142541,168543,94544,7919,19533,2509,26166
2018-11,2018-11-01,337,20005,39566,31520,28215,2448,73305,115107,89107,6951,15918,7889,55576,1174,21680,36024,35976,10855,1122,137184,169516,93908,7607,20349,2605,25341
2018-12,2018-12-01,368,19054,36069,30792,24286,2512,57900,97611,77370,5365,13633,7569,51275,1054,18831,32506,31338,10502,1284,119354,155353,87629,6219,13991,3437,23693
2019-01,2019-01-01,537,21163,41109,33530,29373,2306,66579,114026,90514,6591,16515,9137,59806,1095,19288,33478,35240,10924,1250,122535,165532,92249,6965,17928,2969,25758
2019-02,2019-02-01,440,24717,40876,31731,28283,2216,71785,114079,88270,7232,15212,8467,58918,1007,18306,30108,34185,9962,982,117923,158505,90453,6806,17979,2732,25758
2019-03,2019-03-01,453,23876,49524,34355,32981,2334,77309,125323,102897,7817,15664,9702,66175,1203,23360,38558,39579,11854,1174,148297,184199,104448,7548,18042,3137,30291
2019-04,2019-04-01,402,21877,42851,34096,30796,2490,69601,117862,97126,7049,14544,9573,63753,1271,23818,37594,38225,11308,1077,139317,177824,101281,7177,18351,3173,29313
2019-05,2019-05-01,401,22065,44758,34390,31781,2468,66624,117841,98393,7575,15060,9542,64052,1143,21436,36772,37835,11527,1027,137958,177125,101315,7146,20569,3159,29301
2019-06,2019-06-01,356,19504,38945,30800,29755,2488,59424,102270,89346,6951,14023,9030,60866,1035,17293,29501,32212,11077,973,121629,165910,95716,6276,18204,3130,28541
2019-07,2019-07-01,637,21141,40067,31100,33852,2400,63727,109489,96380,7363,14384,10006,65391,823,17343,29099,32677,11894,882,125933,179204,100365,6254,19702,3531,31424
2019-08,2019-08-01,438,20526,39446,30648,33854,2188,61220,103890,93230,7091,13759,10250,64747,1029,18081,29001,33346,11744,835,121065,173155,96369,5938,22056,3433,30640
2019-09,2019-09-01,481,21272,43008,32115,33253,2463,63732,103096,92705,6661,14257,10666,64563,1217,21620,35427,41091,11802,1042,138508,179584,107755,6731,18185,3446,30587
2019-10,2019-10-01,487,23893,45646,38519,37240,2436,74205,117385,108506,7604,16266,11695,72015,1685,25158,39435,46293,12614,1155,149245,195332,116026,7599,20906,3575,33286
2019-11,2019-11-01,473,21937,42918,35273,37361,2516,71263,113978,114527,7107,13858,10915,67082,1600,23476,37798,42690,12186,1157,144657,188831,114643,7149,20952,3776,33353
2019-12,2019-12-01,405,20415,38255,30262,30431,2143,59682,96999,92001,5989,12084,10859,60049,1300,20253,33609,37045,12877,1310,126911,171993,107950,6075,16785,5203,30391
2020-01,2020-01-01,455,24020,42859,34781,34776,2277,64309,103305,98975,7221,13884,12752,69089,1254,20547,34474,41833,12073,999,126058,192545,109994,8463,20897,4240,33832
2020-02,2020-02-01,589,22056,41250,34730,35812,2323,67957,107273,108279,7858,14257,12548,79084,1308,21978,36076,46712,12572,1145,141698,203121,118442,7884,20610,4342,35311
2020-03,2020-03-01,448,26211,54740,40310,40669,2432,82542,126614,124158,9743,16927,14264,87724,1515,25300,42451,51247,14895,1044,159134,245557,136607,9249,22086,4721,41058
2020-04,2020-04-01,672,28461,55844,45864,46611,2923,92961,146323,143877,10013,44484,15628,100956,1658,25904,44247,51391,16333,1162,166057,274157,154200,10570,44538,5230,48952
2020-05,2020-05-01,859,33850,56959,46810,44582,3095,89709,143769,147007,10015,60226,17062,99898,1702,24891,45017,52380,16160,1096,161601,277555,162756,11160,56544,5756,51841
2020-06,2020-06-01,721,25643,51520,42440,41842,2861,73638,127920,144919,9793,54291,16235,93994,1370,21286,38447,47319,14199,1066,142797,270670,147698,10267,51543,5239,51871
2020-07,2020-07-01,645,24868,50429,41056,42979,2392,76768,128006,130968,9362,47541,16427,91648,1154,20116,35464,43809,14732,966,140694,282786,147961,9653,49104,5440,52095
2020-08,2020-08-01,709,23687,46103,37394,42526,2310,69588,121391,122912,8471,57377,15997,89385,1071,20498,34549,43154,14127,890,131224,289624,143383,8914,55122,5377,56588
2020-09,2020-09-01,518,29472,48703,39203,42988,2064,74036,123288,127084,8199,59518,15005,92178,1412,25032,41627,52760,14757,952,148265,302573,149898,9547,52080,5109,53286
2020-10,2020-10-01,551,26088,54019,43275,42218,2272,92422,142295,139844,8635,54155,16445,99400,1687,27031,44136,57077,15086,1053,157745,328824,155457,9669,49908,5139,57916
2020-11,2020-11-01,576,33205,49394,42651,39227,1992,79579,132408,128345,8279,57458,15878,93170,1555,25962,42265,54217,15372,1145,153054,337870,152782,9582,53508,5355,53882
