month,total_python,active_python,forked_python,starred_python,total_javascript,active_javascript,forked_javascript,starred_javascript,total_typescript,active_typescript,forked_typescript,starred_typescript,total_java,active_java,forked_java,starred_java,total_go,active_go,forked_go,starred_go,total_rust,active_rust,forked_rust,starred_rust,total_cpp,active_cpp,forked_cpp,starred_cpp,total_c,active_c,forked_c,starred_c,total_ruby,active_ruby,forked_ruby,starred_ruby,total_assembly,active_assembly,forked_assembly,starred_assembly
2018-01,74894,73651,14011,17658,136960,135269,15755,21913,18774,18581,2430,3371,112217,110495,10287,12654,8517,8366,1903,2940,1976,1947,502,921,28780,28325,4793,6298,19059,18657,3338,4048,15324,15117,1465,1532,890,870,140,247
2018-02,71376,69603,13082,15972,131244,128432,14636,19931,18764,18450,2276,3146,106592,103746,9078,11087,8277,8097,1864,2906,1979,1958,494,860,28430,27765,4513,5981,17977,17442,2882,3637,16851,16438,1651,1522,893,869,135,191
2018-03,87440,85533,15362,19495,158974,155821,17318,24243,22044,21676,2668,3646,133417,130367,11847,14480,9656,9441,2123,3301,2217,2196,540,978,35576,34793,5518,7280,22489,21881,3502,4494,17639,17132,1820,1624,1095,1079,149,247
2018-04,82465,80831,14389,18247,152179,149597,15942,22245,20952,20664,2447,3508,126687,124078,10991,13465,9353,9175,2077,3311,2080,2052,545,917,34288,33571,5107,6976,21435,20992,3229,4349,17557,17318,2660,1530,1149,1130,161,259
2018-05,81186,79366,13922,18552,154045,151143,15967,22117,22895,22530,2736,3860,125434,122732,10391,13226,9630,9444,2006,3209,2127,2099,530,949,32284,31525,4976,6807,19350,18816,3082,4038,17946,17593,2039,1538,1017,983,138,227
2018-06,75918,74180,12858,17119,147225,144377,14971,21394,22576,22175,2568,3674,110537,107841,9125,11966,8913,8734,1848,2941,1912,1889,473,855,26939,26253,4371,5961,15529,15104,2791,3634,17023,16697,3126,1424,795,777,124,204
2018-07,78057,76522,13408,17653,150538,148057,14894,21553,22854,22523,2558,3727,111836,109417,9185,12258,9601,9426,2041,3122,2008,1992,510,878,24975,24431,4320,6120,14742,14376,2485,3619,18785,18542,3863,1306,679,668,125,197
2018-08,77633,75921,13104,17520,151345,148256,15261,21658,23251,22813,2716,3995,114604,111862,9326,12457,10176,9954,2125,3289,2179,2145,531,930,26612,25993,4365,6114,16041,15621,2724,3688,18445,18077,2748,1500,717,697,115,197
2018-09,84509,82947,13425,18005,152470,150293,15243,21511,23194,22919,2779,4034,127543,125415,9848,12856,9819,9633,1960,3115,2275,2246,523,952,31183,30561,4618,6418,19988,19610,3097,4027,16606,16361,2483,1384,1064,1049,190,269
2018-10,94542,92598,15543,20188,168538,165460,16618,22979,26166,25756,3037,4314,142540,139101,11014,13544,10806,10606,2221,3307,2509,2500,2371,1027,36345,35641,5197,7082,21934,21427,3227,4229,19533,19135,3277,1589,1274,1244,180,265
2018-11,93909,91880,14790,20015,169516,166235,15458,22919,25342,24887,2857,4409,137184,134010,10589,13663,10854,10665,2117,3339,2605,2568,2379,1098,36024,35020,4857,7193,21680,21096,3138,4275,20349,19911,3373,1631,1174,1125,142,238
2018-12,87629,85875,13367,19823,155351,152679,13629,22594,23693,23340,2615,4342,119354,116791,9330,13385,10500,10303,1945,3217,3437,3400,867,1277,32506,31841,4438,6984,18831,18410,2752,4190,13991,13749,1967,1369,1054,1037,162,269
2019-01,92249,90740,15156,22033,165529,163331,15572,25251,25758,25494,3085,5114,122532,120813,10060,14686,10924,10767,2181,3514,2969,2938,703,1287,33478,32813,4922,7657,19288,18902,3086,4486,17928,17790,3081,1518,1095,1069,160,310
2019-02,90453,88590,14459,20295,158503,155508,14832,22896,25759,25303,3195,4911,117922,115359,9049,12407,9963,9775,2073,3240,2732,2711,631,1171,30108,29475,4354,6656,18304,17898,2759,4048,17979,17705,2873,1454,1007,996,115,231
2019-03,104447,102316,16615,24153,184198,180687,16955,26943,30290,29794,3520,5656,148297,145203,11331,16143,11854,11596,2322,3792,3137,3106,721,1334,38557,37692,5456,8345,23359,22851,3407,5169,18042,17773,3501,1509,1203,1185,138,303
2019-04,101281,98925,16066,23306,177823,174048,16233,25156,29313,28764,3398,5364,139320,135582,10473,15381,11308,11091,2192,3527,3173,3134,789,1385,37593,36622,5006,7728,23818,23141,3237,4797,18351,17962,3701,1456,1271,1235,175,301
2019-05,101313,99106,16039,23037,177121,173928,16136,25166,29301,28834,3513,5418,137958,135123,10119,14555,11527,11304,2184,3557,3159,3126,670,1274,36772,35927,4917,7586,21436,20930,3058,4549,20569,20261,3345,1562,1143,1109,154,273
2019-06,95714,93816,14570,21542,165909,164171,14979,23940,28541,28354,3314,5561,121630,119583,8659,12777,11077,10884,2086,3371,3130,3095,656,1270,29501,28801,4103,6513,17288,16891,2689,3902,18204,18070,4534,1555,1035,1005,134,232
2019-07,100362,98133,15021,22472,179201,176936,15796,26081,31424,31186,3591,6079,125932,123250,9117,13713,11893,11651,2225,3550,3531,3492,736,1381,29099,28441,4402,6943,17343,16864,2730,4009,19702,19533,4382,1506,823,807,136,236
2019-08,96370,94291,14896,21949,173154,170836,15085,25569,30640,30395,3628,6102,121061,118342,8562,13149,11743,11544,2115,3536,3433,3398,691,1288,29001,28324,4274,6799,18080,17609,2872,4161,22056,21925,4543,1753,1029,1003,150,256
2019-09,107755,105841,15747,22549,179578,177964,15496,25596,30587,30439,3638,6098,138508,136572,9452,13809,11802,11604,2184,3462,3446,3394,841,1397,35427,34764,4793,7363,21620,21198,3149,4687,18185,18075,3509,1429,1217,1199,176,285
2019-10,116023,113637,17384,24892,195333,193146,17231,32069,33286,33044,3837,6778,149245,146309,10134,15286,12614,12396,2317,3747,3575,3547,809,1460,39435,38542,5429,8116,25157,24560,3482,5018,20906,20608,4311,1718,1685,1649,181,337
2019-11,114643,112581,16034,23694,188825,186769,15572,25525,33353,33111,3672,6286,144656,141953,9312,13891,12187,11961,2197,3603,3776,3732,785,1443,37798,37013,4651,7346,23476,22913,3012,4608,20951,20831,3987,1565,1600,1567,199,353
2019-12,107947,105904,14218,22419,171992,170122,13607,23782,30391,30187,3305,5903,126909,124487,8125,12788,12877,12628,2104,3560,5203,5151,803,1691,33609,32765,4266,7153,20251,19662,2674,4348,16785,16668,2908,1500,1300,1282,159,285
2020-01,109994,108427,14774,23197,192541,191134,15293,25963,33832,33651,3701,6648,126056,124535,8517,13086,12072,11909,2171,3544,4240,4198,877,1661,34474,33962,4356,7328,20547,20230,2835,4579,20897,20810,4213,1440,1253,1227,156,320
2020-02,118440,116373,15901,24954,203118,201275,16006,27180,35311,35093,3852,6750,141699,139815,8953,13289,12572,12373,2275,3659,4342,4300,895,1684,36077,35423,4343,7391,21976,21527,2696,4356,20610,20511,3175,1647,1308,1291,129,291
2020-03,136607,134239,18935,29505,245539,243503,19444,34339,41056,40825,4838,8387,159132,156555,10902,15861,14894,14658,2580,4336,4721,4667,1010,1799,42450,41630,5453,8884,25299,24761,3505,5265,22086,21973,4633,1842,1515,1479,168,342
2020-04,154199,151442,20743,33818,274149,271499,20337,37839,48952,48625,5481,9964,166055,163035,10737,17028,16333,16103,2818,4834,5230,5182,1137,2140,44247,43185,5900,9543,25904,25190,3790,5479,44537,44391,4223,2432,1658,1630,177,392
2020-05,162754,159754,20515,34549,277550,274657,19912,37752,51840,51535,5710,10931,161603,158696,10358,17471,16159,15934,2740,4793,5756,5688,1169,2229,45017,44125,5615,9762,24892,24340,3396,5491,56543,56290,3433,2426,1702,1669,201,432
2020-06,147697,144669,18969,33085,270666,267502,18801,34892,51867,51567,4868,10246,142794,139833,8858,14942,14199,13968,2389,4096,5239,5170,1011,1916,38446,37505,5023,8572,21286,20679,2892,4764,51543,51372,3374,2245,1370,1329,162,366
2020-07,147959,144941,18704,31112,282786,279575,18540,35642,52090,51786,4724,9714,140694,138144,8658,14777,14733,14450,2476,4218,5440,5385,1073,2052,35464,34644,4705,8055,20116,19632,2733,4552,49103,48924,2951,2142,1154,1122,167,311
2020-08,143382,140819,16902,29485,289618,286847,17956,33623,56587,56235,5080,10323,131223,129107,8122,13683,14127,13936,2285,3945,5377,5327,1116,2060,34550,33974,4419,7891,20498,20096,2726,4610,55122,55035,2796,2180,1071,1052,144,288
2020-09,149896,146973,18286,28973,302568,297021,18590,33429,53284,52491,5060,9338,148264,145287,9052,13833,14757,14509,2365,3893,5109,5041,1066,1891,41627,40696,4934,8174,25032,24470,3124,4913,52080,50718,2136,2004,1412,1389,182,310
2020-10,155457,151879,20526,30331,328823,322185,19879,33728,57914,56963,5293,10105,157740,154447,10164,14107,15086,14855,2345,3931,5139,5076,1019,1914,44136,43051,5908,8588,27030,26367,3656,5187,49907,48687,2700,1996,1687,1637,180,340
2020-11,152779,149870,17716,29278,337869,332082,18004,31978,53882,53205,4787,9047,153050,150065,9301,13777,15372,15145,2403,3979,5355,5279,1034,1952,42266,41407,4623,8085,25962,25458,2933,4911,53508,52447,1191,2125,1555,1517,153,351
2020-12,157748,154165,17803,30760,350436,342168,16686,32891,53258,52386,4818,9387,138239,134833,7942,14036,16310,16037,2263,4347,7960,7844,1101,2514,43452,42529,4384,8351,24531,23926,2893,5142,49031,47485,1009,1989,1597,1567,202,405
