month,literature_questions
2017-01-01,368
2017-02-01,150
2017-03-01,132
2017-04-01,104
2017-05-01,73
2017-06-01,86
2017-07-01,112
2017-08-01,100
2017-09-01,74
2017-10-01,88
2017-11-01,86
2017-12-01,114
2018-01-01,106
2018-02-01,80
2018-03-01,90
2018-04-01,67
2018-05-01,66
2018-06-01,70
2018-07-01,46
2018-08-01,80
2018-09-01,67
2018-10-01,71
2018-11-01,43
2018-12-01,63
2019-01-01,80
2019-02-01,78
2019-03-01,69
2019-04-01,42
2019-05-01,64
2019-06-01,49
2019-07-01,66
2019-08-01,48
2019-09-01,36
2019-10-01,37
2019-11-01,45
2019-12-01,34
2020-01-01,51
2020-02-01,40
2020-03-01,61
2020-04-01,90
2020-05-01,97
2020-06-01,92
2020-07-01,88
2020-08-01,130
2020-09-01,128
2020-10-01,103
2020-11-01,99
2020-12-01,151
2021-01-01,101
2021-02-01,158
2021-03-01,98
2021-04-01,90
2021-05-01,76
2021-06-01,75
2021-07-01,51
2021-08-01,50
2021-09-01,69
2021-10-01,61
2021-11-01,71
2021-12-01,102
2022-01-01,69
2022-02-01,87
2022-03-01,63
2022-04-01,77
2022-05-01,50
2022-06-01,50
2022-07-01,52
2022-08-01,65
2022-09-01,56
2022-10-01,47
2022-11-01,48
2022-12-01,64
2023-01-01,60
2023-02-01,81
2023-03-01,84
2023-04-01,73
2023-05-01,73
2023-06-01,62
2023-07-01,43
2023-08-01,55
2023-09-01,63
2023-10-01,55
2023-11-01,51
2023-12-01,47
2024-01-01,73
2024-02-01,62
2024-03-01,54
2024-04-01,71
2024-05-01,71
2024-06-01,69
2024-07-01,74
2024-08-01,44
2024-09-01,48
2024-10-01,48
2024-11-01,65
2024-12-01,96
2025-01-01,72
2025-02-01,36
2025-03-01,49
2025-04-01,49
2025-05-01,56
2025-06-01,34
2025-07-01,21
2025-08-01,38
2025-09-01,38
2025-10-01,40
2025-11-01,44
2025-12-01,62
2026-01-01,52
2026-02-01,36
