month,movies_questions
2011-10-01,1
2011-11-01,21
2011-12-01,172
2012-01-01,120
2012-02-01,97
2012-03-01,86
2012-04-01,112
2012-05-01,124
2012-06-01,134
2012-07-01,127
2012-08-01,84
2012-09-01,71
2012-10-01,102
2012-11-01,99
2012-12-01,187
2013-01-01,155
2013-02-01,119
2013-03-01,115
2013-04-01,99
2013-05-01,133
2013-06-01,112
2013-07-01,135
2013-08-01,141
2013-09-01,186
2013-10-01,171
2013-11-01,128
2013-12-01,165
2014-01-01,156
2014-02-01,107
2014-03-01,162
2014-04-01,113
2014-05-01,146
2014-06-01,186
2014-07-01,143
2014-08-01,161
2014-09-01,133
2014-10-01,154
2014-11-01,177
2014-12-01,161
2015-01-01,133
2015-02-01,191
2015-03-01,197
2015-04-01,184
2015-05-01,184
2015-06-01,193
2015-07-01,198
2015-08-01,227
2015-09-01,190
2015-10-01,224
2015-11-01,201
2015-12-01,272
2016-01-01,243
2016-02-01,278
2016-03-01,283
2016-04-01,237
2016-05-01,261
2016-06-01,287
2016-07-01,238
2016-08-01,264
2016-09-01,261
2016-10-01,220
2016-11-01,310
2016-12-01,340
2017-01-01,397
2017-02-01,326
2017-03-01,381
2017-04-01,282
2017-05-01,364
2017-06-01,304
2017-07-01,306
2017-08-01,373
2017-09-01,208
2017-10-01,238
2017-11-01,241
2017-12-01,273
2018-01-01,242
2018-02-01,209
2018-03-01,194
2018-04-01,235
2018-05-01,281
2018-06-01,176
2018-07-01,158
2018-08-01,152
2018-09-01,166
2018-10-01,187
2018-11-01,231
2018-12-01,204
2019-01-01,193
2019-02-01,154
2019-03-01,180
2019-04-01,285
2019-05-01,344
2019-06-01,151
2019-07-01,166
2019-08-01,177
2019-09-01,146
2019-10-01,141
2019-11-01,138
2019-12-01,214
2020-01-01,148
2020-02-01,132
2020-03-01,153
2020-04-01,117
2020-05-01,106
2020-06-01,128
2020-07-01,128
2020-08-01,136
2020-09-01,111
2020-10-01,109
2020-11-01,78
2020-12-01,111
2021-01-01,92
2021-02-01,89
2021-03-01,75
2021-04-01,58
2021-05-01,72
2021-06-01,88
2021-07-01,70
2021-08-01,77
2021-09-01,51
2021-10-01,73
2021-11-01,52
2021-12-01,72
2022-01-01,62
2022-02-01,43
2022-03-01,45
2022-04-01,54
2022-05-01,70
2022-06-01,69
2022-07-01,68
2022-08-01,71
2022-09-01,65
2022-10-01,68
2022-11-01,49
2022-12-01,49
2023-01-01,57
2023-02-01,41
2023-03-01,57
2023-04-01,50
2023-05-01,49
2023-06-01,61
2023-07-01,101
2023-08-01,56
2023-09-01,58
2023-10-01,62
2023-11-01,51
2023-12-01,68
2024-01-01,68
2024-02-01,35
2024-03-01,43
