开始解析 /home/node/.openclaw/workspaces/ou_061694b4b8257fa782c21a959956256d/stackoverflow_research/data/raw/extracted/Posts.xml
文件大小: 96.8 GB
  已处理 199,702 条 | 问题:85,176 回答:114,526 | 耗时:741s
  已处理 399,370 条 | 问题:170,015 回答:229,355 | 耗时:753s
  已处理 599,038 条 | 问题:254,800 回答:344,238 | 耗时:765s
  已处理 798,736 条 | 问题:340,202 回答:458,534 | 耗时:776s
  已处理 998,439 条 | 问题:425,779 回答:572,660 | 耗时:788s
  已处理 1,198,179 条 | 问题:510,646 回答:687,533 | 耗时:799s
  已处理 1,397,871 条 | 问题:595,813 回答:802,058 | 耗时:811s
  已处理 1,597,563 条 | 问题:681,510 回答:916,053 | 耗时:822s
  已处理 1,797,285 条 | 问题:767,479 回答:1,029,806 | 耗时:834s
  已处理 1,996,919 条 | 问题:853,049 回答:1,143,870 | 耗时:846s
  已处理 2,196,659 条 | 问题:939,047 回答:1,257,612 | 耗时:858s
  已处理 2,396,467 条 | 问题:1,024,272 回答:1,372,195 | 耗时:869s
  已处理 2,596,249 条 | 问题:1,109,376 回答:1,486,873 | 耗时:881s
  已处理 2,795,965 条 | 问题:1,193,813 回答:1,602,152 | 耗时:893s
  已处理 2,995,722 条 | 问题:1,277,796 回答:1,717,926 | 耗时:906s
  已处理 3,195,503 条 | 问题:1,361,890 回答:1,833,613 | 耗时:918s
  已处理 3,395,285 条 | 问题:1,445,706 回答:1,949,579 | 耗时:930s
  已处理 3,595,009 条 | 问题:1,530,121 回答:2,064,888 | 耗时:942s
  已处理 3,794,725 条 | 问题:1,614,220 回答:2,180,505 | 耗时:955s
  已处理 3,994,455 条 | 问题:1,699,415 回答:2,295,040 | 耗时:967s
  已处理 4,194,227 条 | 问题:1,785,205 回答:2,409,022 | 耗时:980s
  已处理 4,393,971 条 | 问题:1,868,979 回答:2,524,992 | 耗时:993s
  已处理 4,593,741 条 | 问题:1,952,359 回答:2,641,382 | 耗时:1005s
  已处理 4,793,523 条 | 问题:2,036,118 回答:2,757,405 | 耗时:1018s
  已处理 4,993,273 条 | 问题:2,119,677 回答:2,873,596 | 耗时:1031s
  已处理 5,193,003 条 | 问题:2,203,977 回答:2,989,026 | 耗时:1044s
  已处理 5,392,735 条 | 问题:2,288,268 回答:3,104,467 | 耗时:1057s
  已处理 5,592,425 条 | 问题:2,373,413 回答:3,219,012 | 耗时:1070s
  已处理 5,792,183 条 | 问题:2,458,645 回答:3,333,538 | 耗时:1083s
  已处理 5,991,917 条 | 问题:2,544,093 回答:3,447,824 | 耗时:1096s
  已处理 6,191,703 条 | 问题:2,629,668 回答:3,562,035 | 耗时:1110s
  已处理 6,391,411 条 | 问题:2,715,182 回答:3,676,229 | 耗时:1123s
  已处理 6,591,179 条 | 问题:2,800,367 回答:3,790,812 | 耗时:1136s
  已处理 6,790,955 条 | 问题:2,886,201 回答:3,904,754 | 耗时:1150s
  已处理 6,990,675 条 | 问题:2,971,181 回答:4,019,494 | 耗时:1163s
  已处理 7,190,451 条 | 问题:3,054,900 回答:4,135,551 | 耗时:1177s
  已处理 7,390,213 条 | 问题:3,139,195 回答:4,251,018 | 耗时:1191s
  已处理 7,589,953 条 | 问题:3,223,956 回答:4,365,997 | 耗时:1204s
  已处理 7,789,779 条 | 问题:3,309,254 回答:4,480,525 | 耗时:1218s
  已处理 7,989,566 条 | 问题:3,395,039 回答:4,594,527 | 耗时:1232s
  已处理 8,189,382 条 | 问题:3,479,630 回答:4,709,752 | 耗时:1246s
  已处理 8,389,120 条 | 问题:3,564,664 回答:4,824,456 | 耗时:1260s
  已处理 8,588,872 条 | 问题:3,648,466 回答:4,940,406 | 耗时:1274s
  已处理 8,788,642 条 | 问题:3,733,284 回答:5,055,358 | 耗时:1288s
  已处理 8,988,378 条 | 问题:3,818,922 回答:5,169,456 | 耗时:1303s
  已处理 9,188,106 条 | 问题:3,904,650 回答:5,283,456 | 耗时:1317s
  已处理 9,387,928 条 | 问题:3,991,032 回答:5,396,896 | 耗时:1332s
  已处理 9,587,760 条 | 问题:4,080,392 回答:5,507,368 | 耗时:1346s
  已处理 9,787,618 条 | 问题:4,168,725 回答:5,618,893 | 耗时:1361s
  已处理 9,987,446 条 | 问题:4,256,771 回答:5,730,675 | 耗时:1376s
  已处理 10,187,304 条 | 问题:4,344,638 回答:5,842,666 | 耗时:1390s
  已处理 10,387,124 条 | 问题:4,431,810 回答:5,955,314 | 耗时:1405s
