month,politics_questions
2012-12-01,239
2013-01-01,89
2013-02-01,49
2013-03-01,43
2013-04-01,44
2013-05-01,34
2013-06-01,36
2013-07-01,56
2013-08-01,41
2013-09-01,47
2013-10-01,79
2013-11-01,36
2013-12-01,45
2014-01-01,35
2014-02-01,31
2014-03-01,69
2014-04-01,32
2014-05-01,36
2014-06-01,32
2014-07-01,58
2014-08-01,45
2014-09-01,44
2014-10-01,63
2014-11-01,50
2014-12-01,35
2015-01-01,31
2015-02-01,38
2015-03-01,40
2015-04-01,43
2015-05-01,51
2015-06-01,41
2015-07-01,57
2015-08-01,58
2015-09-01,44
2015-10-01,41
2015-11-01,63
2015-12-01,55
2016-01-01,55
2016-02-01,61
2016-03-01,129
2016-04-01,82
2016-05-01,94
2016-06-01,121
2016-07-01,100
2016-08-01,75
2016-09-01,56
2016-10-01,108
2016-11-01,240
2016-12-01,115
2017-01-01,212
2017-02-01,207
2017-03-01,188
2017-04-01,172
2017-05-01,210
2017-06-01,245
2017-07-01,155
2017-08-01,180
2017-09-01,151
2017-10-01,179
2017-11-01,136
2017-12-01,167
2018-01-01,127
2018-02-01,115
2018-03-01,196
2018-04-01,141
2018-05-01,121
2018-06-01,132
2018-07-01,158
2018-08-01,161
2018-09-01,165
2018-10-01,186
2018-11-01,191
2018-12-01,165
2019-01-01,201
2019-02-01,156
2019-03-01,223
2019-04-01,239
2019-05-01,197
2019-06-01,157
2019-07-01,185
2019-08-01,170
2019-09-01,240
2019-10-01,266
2019-11-01,237
2019-12-01,189
2020-01-01,206
2020-02-01,163
2020-03-01,173
2020-04-01,180
2020-05-01,116
2020-06-01,163
2020-07-01,148
2020-08-01,190
2020-09-01,166
2020-10-01,220
2020-11-01,275
2020-12-01,157
2021-01-01,234
2021-02-01,119
2021-03-01,103
2021-04-01,107
2021-05-01,161
2021-06-01,176
2021-07-01,164
2021-08-01,168
2021-09-01,120
2021-10-01,86
2021-11-01,82
2021-12-01,87
2022-01-01,96
2022-02-01,183
2022-03-01,260
2022-04-01,155
2022-05-01,113
2022-06-01,146
2022-07-01,103
2022-08-01,155
2022-09-01,166
2022-10-01,125
2022-11-01,100
2022-12-01,103
2023-01-01,144
2023-02-01,98
2023-03-01,113
2023-04-01,82
2023-05-01,71
2023-06-01,77
2023-07-01,100
2023-08-01,128
2023-09-01,104
2023-10-01,192
2023-11-01,219
2023-12-01,174
2024-01-01,174
2024-02-01,167
2024-03-01,172
2024-04-01,92
2024-05-01,89
2024-06-01,83
2024-07-01,101
2024-08-01,77
2024-09-01,74
2024-10-01,72
2024-11-01,94
2024-12-01,50
2025-01-01,54
2025-02-01,68
2025-03-01,83
2025-04-01,80
2025-05-01,51
2025-06-01,41
2025-07-01,43
2025-08-01,48
2025-09-01,39
2025-10-01,33
2025-11-01,22
2025-12-01,24
2026-01-01,31
2026-02-01,28
