month,cooking_questions_x,economics_questions_x,history_questions_x,philosophy_questions_x,biology_questions_x,travel_questions_x,stackoverflow_questions,serverfault_questions,superuser_questions,math_questions,physics_questions,stats_questions,biology_questions_y,history_questions_y,philosophy_questions_y,economics_questions_y,cooking_questions_y,travel_questions_y,so_weekly_mean
2018-01-01,153.0,126.0,149.0,145.0,244.0,436.0,35921.0,326.0,586.6,3223.2,389.4,376.4,53.0,33.0,33.2,28.0,36.4,98.0,34986.5
2018-02-01,148.0,145.0,161.0,178.0,242.0,428.0,38319.0,324.75,611.5,3293.5,412.75,379.0,61.0,41.75,44.0,37.0,36.5,108.5,38319.0
2018-03-01,186.0,128.0,164.0,217.0,260.0,519.0,39222.0,345.0,587.5,3231.0,436.25,409.75,60.25,36.0,52.0,27.5,42.5,119.25,39222.0
2018-04-01,175.0,155.0,124.0,271.0,302.0,554.0,38020.8,333.0,583.4,3491.4,420.4,446.8,69.6,29.2,62.0,38.4,39.4,130.6,38020.8
2018-05-01,160.0,181.0,132.0,247.0,275.0,625.0,37131.5,302.5,563.25,3142.75,420.75,420.25,59.25,29.25,53.75,38.25,35.25,137.0,37131.5
2018-06-01,147.0,124.0,132.0,163.0,251.0,530.0,36428.75,312.0,542.0,2611.5,364.0,376.5,61.25,31.5,36.75,28.25,34.0,125.5,36428.75
2018-07-01,165.0,99.0,123.0,188.0,270.0,548.0,36223.6,307.0,523.2,2262.4,336.0,363.4,59.0,25.6,42.0,23.8,37.0,124.8,36223.6
2018-08-01,165.0,131.0,141.0,211.0,208.0,571.0,35075.5,299.5,552.5,2448.0,369.25,345.5,46.0,34.0,49.25,26.75,38.0,125.25,35075.5
2018-09-01,135.0,130.0,149.0,199.0,203.0,459.0,34743.75,299.5,550.5,2811.25,383.0,355.0,47.75,35.5,46.5,30.75,31.0,109.75,34743.75
2018-10-01,227.0,141.0,159.0,195.0,233.0,515.0,35409.2,290.4,505.4,3230.0,394.4,367.2,53.6,34.8,42.4,31.0,53.8,114.0,35409.2
