month,so,cooking_questions,economics_questions,history_questions,philosophy_questions,biology,travel
2018-01-01,34986.5,153.0,126.0,149.0,145.0,244.0,436.0
2018-02-01,38319.0,148.0,145.0,161.0,178.0,242.0,428.0
2018-03-01,39222.0,186.0,128.0,164.0,217.0,260.0,519.0
2018-04-01,38020.8,175.0,155.0,124.0,271.0,302.0,554.0
2018-05-01,37131.5,160.0,181.0,132.0,247.0,275.0,625.0
2018-06-01,36428.75,147.0,124.0,132.0,163.0,251.0,530.0
2018-07-01,36223.6,165.0,99.0,123.0,188.0,270.0,548.0
2018-08-01,35075.5,165.0,131.0,141.0,211.0,208.0,571.0
2018-09-01,34743.75,135.0,130.0,149.0,199.0,203.0,459.0
2018-10-01,35409.2,227.0,141.0,159.0,195.0,233.0,515.0
2018-11-01,34821.5,247.0,138.0,147.0,221.0,216.0,478.0
2018-12-01,30800.0,202.0,101.0,135.0,170.0,217.0,508.0
2019-01-01,34516.75,204.0,159.0,137.0,166.0,206.0,694.0
2019-02-01,36715.0,137.0,119.0,109.0,186.0,220.0,521.0
2019-03-01,37238.75,146.0,159.0,132.0,182.0,236.0,638.0
2019-04-01,34973.4,152.0,155.0,119.0,169.0,224.0,587.0
2019-05-01,33851.75,147.0,177.0,123.0,152.0,186.0,666.0
2019-06-01,32630.5,158.0,131.0,134.0,162.0,173.0,541.0
2019-07-01,33408.2,178.0,136.0,127.0,154.0,197.0,582.0
2019-08-01,30891.0,163.0,130.0,119.0,204.0,183.0,602.0
2019-09-01,32386.2,156.0,128.0,95.0,168.0,176.0,513.0
2019-10-01,33920.0,170.0,165.0,92.0,162.0,158.0,387.0
2019-11-01,35237.25,168.0,163.0,96.0,151.0,125.0,367.0
2019-12-01,29382.4,170.0,145.0,115.0,138.0,148.0,416.0
2020-01-01,33778.5,152.0,133.0,125.0,156.0,160.0,441.0
2020-02-01,35624.75,144.0,124.0,127.0,146.0,161.0,399.0
2020-03-01,36248.6,139.0,170.0,113.0,125.0,210.0,300.0
2020-04-01,42450.75,237.0,204.0,111.0,141.0,254.0,127.0
2020-05-01,42808.0,220.0,211.0,143.0,153.0,225.0,118.0
2020-06-01,39379.0,176.0,197.0,133.0,120.0,181.0,156.0
2020-07-01,36918.5,153.0,150.0,129.0,142.0,173.0,178.0
2020-08-01,33795.2,156.0,152.0,121.0,155.0,184.0,163.0
