week_dt,stackoverflow,math,physics,stats,biology,history,philosophy,economics,cooking,travel,serverfault,superuser
2021-11-29,27642.0,2183.0,388.0,308.0,23.0,9.0,20.0,35.0,16,39,185.0,393
2021-12-06,27319.0,2124.0,419.0,,33.0,20.0,35.0,34.0,16,44,186.0,385
2021-12-13,26791.0,1934.0,338.0,270.0,28.0,16.0,28.0,26.0,16,41,204.0,381
2021-12-20,22680.0,1622.0,322.0,232.0,18.0,13.0,28.0,18.0,23,34,157.0,356
2021-12-27,20993.0,1618.0,345.0,209.0,18.0,15.0,30.0,27.0,17,33,185.0,346
2022-01-03,26304.0,1949.0,387.0,301.0,22.0,16.0,32.0,34.0,16,37,209.0,394
2022-01-10,27397.0,2013.0,407.0,303.0,,11.0,35.0,31.0,26,36,218.0,394
2022-01-17,28513.0,2016.0,404.0,323.0,15.0,21.0,26.0,34.0,25,40,226.0,406
2022-01-24,28524.0,2061.0,420.0,310.0,18.0,12.0,28.0,23.0,23,37,262.0,362
2022-01-31,28499.0,1997.0,410.0,321.0,28.0,15.0,36.0,24.0,14,25,229.0,366
2022-02-07,28901.0,1954.0,421.0,311.0,22.0,13.0,48.0,28.0,22,27,201.0,356
2022-02-14,29107.0,1976.0,410.0,322.0,26.0,18.0,26.0,31.0,19,36,220.0,377
2022-02-21,27815.0,1861.0,372.0,313.0,24.0,15.0,39.0,35.0,15,30,180.0,397
2022-02-28,26966.0,1757.0,318.0,335.0,18.0,19.0,33.0,,17,35,175.0,324
2022-03-07,26782.0,1820.0,322.0,282.0,22.0,17.0,28.0,37.0,10,37,162.0,382
2022-03-14,27595.0,1829.0,325.0,302.0,21.0,21.0,30.0,29.0,15,42,149.0,382
2022-03-21,27769.0,1883.0,350.0,325.0,22.0,16.0,27.0,22.0,15,39,168.0,413
2022-03-28,27790.0,1873.0,347.0,328.0,,14.0,29.0,33.0,12,33,176.0,393
2022-04-04,28012.0,1793.0,372.0,313.0,18.0,15.0,37.0,29.0,21,35,179.0,407
2022-04-11,26116.0,1824.0,350.0,299.0,24.0,13.0,39.0,28.0,12,39,157.0,370
2022-04-18,26322.0,1894.0,344.0,335.0,21.0,10.0,35.0,36.0,16,37,170.0,344
2022-04-25,27076.0,1940.0,373.0,300.0,25.0,12.0,42.0,19.0,13,42,165.0,356
