month,cooking_questions,economics_questions,history_questions,philosophy_questions
2018-01-01,153.0,126.0,149.0,145.0
2018-02-01,148.0,145.0,161.0,178.0
2018-03-01,186.0,128.0,164.0,217.0
2018-04-01,175.0,155.0,124.0,271.0
2018-05-01,160.0,181.0,132.0,247.0
2018-06-01,147.0,124.0,132.0,163.0
2018-07-01,165.0,99.0,123.0,188.0
2018-08-01,165.0,131.0,141.0,211.0
2018-09-01,135.0,130.0,149.0,199.0
2018-10-01,227.0,141.0,159.0,195.0
2018-11-01,247.0,138.0,147.0,221.0
2018-12-01,202.0,101.0,135.0,170.0
2019-01-01,204.0,159.0,137.0,166.0
2019-02-01,137.0,119.0,109.0,186.0
2019-03-01,146.0,159.0,132.0,182.0
2019-04-01,152.0,155.0,119.0,169.0
2019-05-01,147.0,177.0,123.0,152.0
2019-06-01,158.0,131.0,134.0,162.0
2019-07-01,178.0,136.0,127.0,154.0
2019-08-01,163.0,130.0,119.0,204.0
2019-09-01,156.0,128.0,95.0,168.0
2019-10-01,170.0,165.0,92.0,162.0
2019-11-01,168.0,163.0,96.0,151.0
2019-12-01,170.0,145.0,115.0,138.0
2020-01-01,152.0,133.0,125.0,156.0
2020-02-01,144.0,124.0,127.0,146.0
2020-03-01,139.0,170.0,113.0,125.0
2020-04-01,237.0,204.0,111.0,141.0
2020-05-01,220.0,211.0,143.0,153.0
2020-06-01,176.0,197.0,133.0,120.0
2020-07-01,153.0,150.0,129.0,142.0
2020-08-01,156.0,152.0,121.0,155.0
2020-09-01,115.0,123.0,106.0,121.0
2020-10-01,118.0,164.0,79.0,163.0
2020-11-01,138.0,199.0,71.0,155.0
2020-12-01,158.0,204.0,81.0,146.0
2021-01-01,145.0,168.0,81.0,143.0
2021-02-01,115.0,154.0,78.0,114.0
2021-03-01,128.0,152.0,107.0,153.0
2021-04-01,112.0,122.0,78.0,130.0
2021-05-01,101.0,195.0,90.0,133.0
2021-06-01,94.0,151.0,77.0,172.0
2021-07-01,95.0,130.0,74.0,138.0
2021-08-01,100.0,118.0,89.0,121.0
2021-09-01,72.0,137.0,64.0,121.0
2021-10-01,94.0,153.0,70.0,120.0
2021-11-01,92.0,159.0,70.0,124.0
2021-12-01,79.0,125.0,66.0,128.0
2022-01-01,96.0,143.0,65.0,137.0
2022-02-01,70.0,128.0,62.0,145.0
2022-03-01,61.0,136.0,81.0,133.0
2022-04-01,64.0,135.0,51.0,163.0
2022-05-01,61.0,127.0,57.0,141.0
2022-06-01,65.0,130.0,61.0,119.0
2022-07-01,54.0,115.0,54.0,154.0
2022-08-01,88.0,139.0,57.0,150.0
2022-09-01,90.0,153.0,85.0,149.0
2022-10-01,87.0,159.0,63.0,144.0
2022-11-01,89.0,155.0,44.0,120.0
2022-12-01,104.0,99.0,61.0,151.0
2023-01-01,92.0,105.0,60.0,209.0
2023-02-01,81.0,109.0,69.0,187.0
2023-03-01,68.0,136.0,54.0,219.0
2023-04-01,66.0,148.0,54.0,129.0
2023-05-01,86.0,138.0,50.0,175.0
2023-06-01,69.0,106.0,56.0,172.0
2023-07-01,51.0,89.0,51.0,233.0
2023-08-01,70.0,113.0,56.0,288.0
2023-09-01,82.0,125.0,45.0,227.0
2023-10-01,75.0,149.0,54.0,208.0
2023-11-01,77.0,104.0,52.0,299.0
2023-12-01,83.0,117.0,60.0,237.0
2024-01-01,67.0,105.0,64.0,232.0
2024-02-01,61.0,120.0,43.0,172.0
2024-03-01,52.0,99.0,53.0,235.0
2024-04-01,,,,
2024-05-01,,,,
2024-06-01,,,,
2024-07-01,,,,
2024-08-01,,,,
2024-09-01,,,,
2024-10-01,,,,
2024-11-01,,,,
2024-12-01,,,,
2025-01-01,,,,
2025-02-01,,,,
2025-03-01,,,,
2025-04-01,,,,
2025-05-01,,,,
2025-06-01,,,,
2025-07-01,,,,
2025-08-01,,,,
2025-09-01,,,,
2025-10-01,,,,
2025-11-01,,,,
2025-12-01,,,,
2026-01-01,,,,
2026-02-01,,,,
