month,AI_questions,Academia_questions,Android_questions,Astronomy_questions,Biology_questions,Chemistry_questions,CogSci_questions,Cooking_questions,DataScience_questions,Economics_questions,English_questions,History_questions,Law_questions,Linguistics_questions,Literature_questions,Math_questions,Movies_questions,Music_questions,Philosophy_questions,Physics_questions,Politics_questions,Psychology_questions,SO_questions,SciComp_questions,ServerFault_questions,Sociology_questions,Stats_questions,SuperUser_questions,Travel_questions,Unix_questions,WordPress_questions
2018-01,78,419,370,113,243,423,75,153,413,125,891,149,257,87,106,14218,261,293,145,1741,127,75,160520,75,1462,,1671,2612,436,2123,872
2018-02,70,411,410,111,238,438,49,148,381,144,915,160,238,69,80,13266,209,230,178,1617,115,49,153126,70,1291,,1546,2446,428,1881,729
2018-03,81,402,360,109,260,482,55,185,401,127,1150,163,280,86,90,14315,194,236,217,1931,196,55,172977,86,1529,,1775,2608,519,1998,798
2018-04,96,407,317,114,302,427,69,175,437,154,1033,124,285,79,67,14854,235,229,269,1799,141,69,162463,74,1424,,1932,2531,553,1867,717
2018-05,96,402,272,99,275,426,65,160,563,180,950,131,328,85,66,14420,281,207,247,1895,120,65,167514,67,1376,,1909,2486,625,1936,762
2018-06,81,363,247,105,251,325,69,147,404,124,879,132,248,74,70,11317,176,207,163,1558,132,69,154712,55,1332,,1593,2334,530,1739,734
2018-07,100,357,279,115,270,291,85,165,452,96,1038,123,236,90,46,10037,158,191,188,1476,158,85,160060,59,1344,,1603,2269,548,1766,901
2018-08,114,401,301,111,208,255,74,165,501,129,956,141,263,89,80,10690,152,240,211,1618,161,74,158506,60,1350,,1569,2502,570,1851,798
2018-09,111,366,256,102,203,240,79,135,484,126,845,148,244,136,67,11919,166,180,197,1638,165,79,144543,54,1255,,1478,2307,459,1840,652
2018-10,129,369,212,129,233,254,54,227,453,140,1069,159,277,90,71,14323,187,220,194,1747,185,54,160463,60,1317,,1647,2306,515,1845,614
2018-11,130,372,255,123,216,292,42,247,403,136,885,147,266,70,43,13875,231,246,221,1726,191,42,149780,49,1217,,1580,2061,478,1768,651
2018-12,113,336,297,124,217,279,45,202,406,100,957,135,271,88,63,11751,204,250,169,1766,165,45,132235,60,1095,,1536,2300,508,1680,674
2019-01,139,415,308,143,206,407,66,204,457,153,971,137,304,93,80,12619,192,304,166,1959,200,66,149588,50,1567,,1777,3192,693,1887,832
2019-02,160,368,276,132,219,329,41,137,613,113,928,109,333,91,78,11930,155,255,185,1649,156,41,146373,58,1396,,1726,2676,521,1764,851
2019-03,195,383,343,128,236,498,65,146,656,151,989,132,303,80,69,13278,179,347,181,1912,223,65,161115,69,1418,,1858,2646,638,1933,791
2019-04,170,379,272,166,224,515,71,152,568,149,800,119,297,92,42,12991,285,262,169,1988,239,71,153535,75,1391,,1830,3245,587,1790,805
2019-05,182,332,230,140,185,525,67,147,559,166,770,122,318,76,64,13107,344,229,150,2105,197,67,151348,76,1355,,1702,3266,666,1851,775
2019-06,160,314,254,125,172,404,56,158,585,123,712,133,282,56,49,11073,151,207,162,1772,157,56,135902,75,1161,,1450,3056,541,1760,761
2019-07,194,322,245,126,196,402,61,178,630,119,787,126,264,69,66,10309,166,217,153,1761,184,61,151026,79,1265,,1618,3164,582,1846,623
