month,stackoverflow,math,physics,stats,biology,chemistry,astronomy,cogsci,datascience,ai,english,linguistics,literature,economics,law,politics,academia,history,philosophy,cooking,music,movies,travel,serverfault,superuser
2024-04,42356,5656,1232,810,58,189,99,14,138,91,200,49,71,111,169,92,228,50,264,51,82,44,155,435,1041
2024-05,40332,5684,1252,747,58,181,74,12,108,82,190,40,71,103,217,89,197,46,232,51,96,38,162,433,1006
2024-06,32236,4792,1029,632,37,152,73,13,80,73,167,49,69,80,177,83,171,39,195,51,92,54,186,452,851
2024-07,31401,4255,915,625,47,131,70,21,72,71,157,51,74,62,176,101,163,42,200,44,83,61,194,446,897
2024-08,28084,4083,913,555,66,154,83,10,72,72,150,31,44,65,158,77,157,43,215,52,71,59,219,389,914
2024-09,24699,4083,931,512,39,126,69,12,58,78,145,26,48,51,161,74,154,41,189,42,81,82,130,401,801
2024-10,23235,4501,970,504,52,168,61,8,44,51,144,42,48,71,148,72,164,25,175,38,66,64,140,369,856
2024-11,21001,4054,897,545,36,136,61,11,73,95,145,39,65,56,140,94,126,33,264,49,67,64,117,304,809
2024-12,18019,3753,825,421,42,160,55,14,62,82,126,23,96,54,118,50,109,45,242,50,67,70,105,309,755
2025-01,18155,3722,858,479,49,158,68,16,78,81,131,31,72,65,112,54,141,34,187,45,67,68,100,326,792
2025-02,15567,3027,682,434,30,155,49,14,71,68,117,23,36,53,130,68,124,30,156,25,51,71,101,293,684
2025-03,16322,3363,696,481,42,160,62,10,80,64,149,32,49,55,135,83,114,39,124,33,67,65,126,278,689
2025-04,13987,2871,671,410,48,127,37,9,67,59,112,22,49,56,109,80,121,39,154,30,57,74,80,301,632
2025-05,11635,2773,600,339,51,110,37,8,66,57,94,34,56,47,102,51,107,20,174,29,51,77,106,264,632
2025-06,9199,2469,614,296,35,68,48,8,61,31,127,34,34,30,74,41,104,28,166,27,45,81,94,219,473
2025-07,7764,2263,597,320,41,67,49,5,59,49,84,25,21,43,92,43,87,19,135,30,51,94,79,227,482
2025-08,5890,2047,501,271,41,83,36,6,46,47,67,29,38,28,81,48,85,26,142,14,52,78,62,242,482
2025-09,6045,1854,401,232,41,65,24,11,41,26,69,33,38,36,79,39,77,18,120,31,44,89,61,197,423
2025-10,5407,1961,418,221,22,84,31,13,46,29,76,19,40,17,76,33,81,31,105,35,30,54,62,212,438
2025-11,5466,1760,384,242,22,55,30,9,28,18,83,17,44,32,75,22,68,21,129,28,35,69,48,148,369
2025-12,4267,1503,348,181,22,56,27,10,23,29,81,9,62,12,47,24,54,17,98,32,30,62,59,153,328
2026-01,3772,1481,289,178,32,66,35,9,30,25,78,18,52,22,93,31,69,18,112,17,47,33,48,142,328
2026-02,3313,1337,282,172,20,61,18,7,18,34,51,13,36,23,66,28,48,21,85,16,36,27,38,105,257
