month,n_questions,avg_score,avg_views,pct_answered,avg_answer_count,avg_body_length,avg_comment_count
2024-04-01,3751,0.76,541.8,55.6,1.05,2337.4,0.0
2024-05-01,3695,0.78,712.5,54.8,1.02,2466.3,0.0
2024-06-01,3598,0.73,586.4,54.5,1.03,2504.9,0.0
2024-07-01,3614,0.72,510.4,54.6,1.05,2536.6,0.0
2024-08-01,3467,0.67,607.6,55.0,1.04,2590.0,0.0
2024-09-01,3437,0.78,396.5,53.9,1.03,2540.5,0.0
2024-10-01,3479,0.79,398.2,56.9,1.06,2483.3,0.0
2024-11-01,3393,0.74,316.5,55.1,1.01,2565.8,0.0
2024-12-01,3342,0.78,315.4,53.6,0.98,2604.3,0.0
2025-01-01,3320,0.74,263.9,55.7,1.03,2565.5,0.0
2025-02-01,3256,0.78,242.6,58.9,1.06,2548.2,0.0
2025-03-01,3199,0.75,213.0,54.5,1.0,2661.6,0.0
2025-04-01,3002,0.93,197.5,54.0,0.95,2585.1,0.0
2025-05-01,2911,0.85,191.3,55.3,0.97,2633.8,0.0
2025-06-01,2594,0.88,185.1,54.9,0.96,2635.8,0.0
2025-07-01,2398,1.05,191.3,58.7,1.02,2615.4,0.0
2025-08-01,2217,1.01,190.1,57.1,0.95,2837.2,0.0
2025-09-01,2153,1.04,218.7,55.4,0.96,2734.6,0.0
2025-10-01,2074,1.16,180.1,57.2,0.98,2644.0,0.0
2025-11-01,2131,0.93,196.6,60.8,1.47,2457.8,0.0
2025-12-01,1718,1.14,240.2,62.9,1.59,2606.3,0.0
