month,language,platform,activity,ari,covid_peak,tech_layoff,so_ai_ban,so_strike,post_chatgpt,post_copilot_ga,post_gpt4,ai_capability_index,github_dummy,ln_activity,treat,treat_x_github,lang_fe,time_fe,platform_fe,high_ari,t_global
2018-01-01,assembly,GitHub,890.0,0.0,0,0,0,0,0,0,0,0.1,1,6.792344427470809,0.0,0.0,assembly,2018-01,GitHub,0,0
2018-02-01,assembly,GitHub,893.0,0.0,0,0,0,0,0,0,0,0.1,1,6.795705775173514,0.0,0.0,assembly,2018-02,GitHub,0,1
2018-03-01,assembly,GitHub,1095.0,0.0,0,0,0,0,0,0,0,0.1,1,6.999422467507961,0.0,0.0,assembly,2018-03,GitHub,0,2
2018-04-01,assembly,GitHub,1149.0,0.0,0,0,0,0,0,0,0,0.1,1,7.047517221357296,0.0,0.0,assembly,2018-04,GitHub,0,3
2018-05-01,assembly,GitHub,1017.0,0.0,0,0,0,0,0,0,0,0.1,1,6.925595197110468,0.0,0.0,assembly,2018-05,GitHub,0,4
2018-06-01,assembly,GitHub,795.0,0.0,0,0,0,0,0,0,0,0.1,1,6.679599185844383,0.0,0.0,assembly,2018-06,GitHub,0,5
2018-07-01,assembly,GitHub,679.0,0.0,0,0,0,0,0,0,0,0.1,1,6.522092798170152,0.0,0.0,assembly,2018-07,GitHub,0,6
2018-08-01,assembly,GitHub,717.0,0.0,0,0,0,0,0,0,0,0.1,1,6.576469569048224,0.0,0.0,assembly,2018-08,GitHub,0,7
2018-09-01,assembly,GitHub,1064.0,0.0,0,0,0,0,0,0,0,0.1,1,6.970730078143525,0.0,0.0,assembly,2018-09,GitHub,0,8
2018-10-01,assembly,GitHub,1274.0,0.0,0,0,0,0,0,0,0,0.1,1,7.150701457592526,0.0,0.0,assembly,2018-10,GitHub,0,9
2018-11-01,assembly,GitHub,1174.0,0.0,0,0,0,0,0,0,0,0.1,1,7.069023426578259,0.0,0.0,assembly,2018-11,GitHub,0,10
2018-12-01,assembly,GitHub,1054.0,0.0,0,0,0,0,0,0,0,0.1,1,6.961296045910167,0.0,0.0,assembly,2018-12,GitHub,0,11
2019-01-01,assembly,GitHub,1095.0,0.0,0,0,0,0,0,0,0,0.1,1,6.999422467507961,0.0,0.0,assembly,2019-01,GitHub,0,12
2019-02-01,assembly,GitHub,1007.0,0.0,0,0,0,0,0,0,0,0.1,1,6.915723448631314,0.0,0.0,assembly,2019-02,GitHub,0,13
2019-03-01,assembly,GitHub,1203.0,0.0,0,0,0,0,0,0,0,0.1,1,7.093404625868766,0.0,0.0,assembly,2019-03,GitHub,0,14
2019-04-01,assembly,GitHub,1271.0,0.0,0,0,0,0,0,0,0,0.1,1,7.148345743900068,0.0,0.0,assembly,2019-04,GitHub,0,15
2019-05-01,assembly,GitHub,1143.0,0.0,0,0,0,0,0,0,0,0.1,1,7.042286171939743,0.0,0.0,assembly,2019-05,GitHub,0,16
2019-06-01,assembly,GitHub,1035.0,0.0,0,0,0,0,0,0,0,0.1,1,6.943122422819428,0.0,0.0,assembly,2019-06,GitHub,0,17
2019-07-01,assembly,GitHub,823.0,0.0,0,0,0,0,0,0,0,0.1,1,6.714170529909472,0.0,0.0,assembly,2019-07,GitHub,0,18
2019-08-01,assembly,GitHub,1029.0,0.0,0,0,0,0,0,0,0,0.1,1,6.937314081223682,0.0,0.0,assembly,2019-08,GitHub,0,19
2019-09-01,assembly,GitHub,1217.0,0.0,0,0,0,0,0,0,0,0.1,1,7.1049654482698426,0.0,0.0,assembly,2019-09,GitHub,0,20
2019-10-01,assembly,GitHub,1685.0,0.0,0,0,0,0,0,0,0,0.1,1,7.430114138561801,0.0,0.0,assembly,2019-10,GitHub,0,21
2019-11-01,assembly,GitHub,1600.0,0.0,0,0,0,0,0,0,0,0.1,1,7.3783837129967145,0.0,0.0,assembly,2019-11,GitHub,0,22
2019-12-01,assembly,GitHub,1300.0,0.0,0,0,0,0,0,0,0,0.1,1,7.170888478512505,0.0,0.0,assembly,2019-12,GitHub,0,23
2020-01-01,assembly,GitHub,1254.0,0.0,0,0,0,0,0,0,0,0.1,1,7.134890851565884,0.0,0.0,assembly,2020-01,GitHub,0,24
2020-02-01,assembly,GitHub,1308.0,0.0,0,0,0,0,0,0,0,0.1,1,7.1770187659099,0.0,0.0,assembly,2020-02,GitHub,0,25
2020-03-01,assembly,GitHub,1515.0,0.0,1,0,0,0,0,0,0,0.1,1,7.323830566202317,0.0,0.0,assembly,2020-03,GitHub,0,26
2020-04-01,assembly,GitHub,1658.0,0.0,1,0,0,0,0,0,0,0.1,1,7.413970290190444,0.0,0.0,assembly,2020-04,GitHub,0,27
2020-05-01,assembly,GitHub,1702.0,0.0,1,0,0,0,0,0,0,0.1,1,7.440146680662688,0.0,0.0,assembly,2020-05,GitHub,0,28
2020-06-01,assembly,GitHub,1370.0,0.0,1,0,0,0,0,0,0,0.1,1,7.223295679562314,0.0,0.0,assembly,2020-06,GitHub,0,29
2020-07-01,assembly,GitHub,1154.0,0.0,1,0,0,0,0,0,0,0.1,1,7.051855622955894,0.0,0.0,assembly,2020-07,GitHub,0,30
2020-08-01,assembly,GitHub,1071.0,0.0,1,0,0,0,0,0,0,0.1,1,6.977281341630747,0.0,0.0,assembly,2020-08,GitHub,0,31
2020-09-01,assembly,GitHub,1412.0,0.0,1,0,0,0,0,0,0,0.1,1,7.253470382684528,0.0,0.0,assembly,2020-09,GitHub,0,32
2020-10-01,assembly,GitHub,1687.0,0.0,1,0,0,0,0,0,0,0.1,1,7.431299675155903,0.0,0.0,assembly,2020-10,GitHub,0,33
2020-11-01,assembly,GitHub,1555.0,0.0,1,0,0,0,0,0,0,0.1,1,7.349873704738337,0.0,0.0,assembly,2020-11,GitHub,0,34
2020-12-01,assembly,GitHub,1597.0,0.0,1,0,0,0,0,0,0,0.1,1,7.37650812632622,0.0,0.0,assembly,2020-12,GitHub,0,35
2021-01-01,assembly,GitHub,1538.0,0.0,1,0,0,0,0,0,0,0.1,1,7.338888133838879,0.0,0.0,assembly,2021-01,GitHub,0,36
2021-02-01,assembly,GitHub,1507.0,0.0,1,0,0,0,0,0,0,0.1,1,7.318539548567902,0.0,0.0,assembly,2021-02,GitHub,0,37
2021-03-01,assembly,GitHub,1963.0,0.0,1,0,0,0,0,0,0,0.1,1,7.582738488914411,0.0,0.0,assembly,2021-03,GitHub,0,38
2021-04-01,assembly,GitHub,1859.0,0.0,1,0,0,0,0,0,0,0.1,1,7.528331766707247,0.0,0.0,assembly,2021-04,GitHub,0,39
2021-05-01,assembly,GitHub,1815.0,0.0,1,0,0,0,0,0,0,0.1,1,7.504391559161238,0.0,0.0,assembly,2021-05,GitHub,0,40
2021-06-01,assembly,GitHub,1449.0,0.0,1,0,0,0,0,0,0,0.1,1,7.27931883541462,0.0,0.0,assembly,2021-06,GitHub,0,41
2021-07-01,assembly,GitHub,1337.0,0.0,0,0,0,0,0,0,0,0.1,1,7.198931240688173,0.0,0.0,assembly,2021-07,GitHub,0,42
2021-08-01,assembly,GitHub,1320.0,0.0,0,0,0,0,0,0,0,0.1,1,7.186144304522325,0.0,0.0,assembly,2021-08,GitHub,0,43
2021-09-01,assembly,GitHub,1554.0,0.0,0,0,0,0,0,0,0,0.1,1,7.349230824613334,0.0,0.0,assembly,2021-09,GitHub,0,44
2021-10-01,assembly,GitHub,1721.0,0.0,0,0,0,0,0,0,0,0.27,1,7.451241684987676,0.0,0.0,assembly,2021-10,GitHub,0,45
2021-11-01,assembly,GitHub,1654.0,0.0,0,0,0,0,0,0,0,0.27,1,7.411556287811163,0.0,0.0,assembly,2021-11,GitHub,0,46
2021-12-01,assembly,GitHub,1639.0,0.0,0,0,0,0,0,0,0,0.27,1,7.402451520818244,0.0,0.0,assembly,2021-12,GitHub,0,47
2022-01-01,assembly,GitHub,1651.0,0.0,0,0,0,0,0,0,0,0.27,1,7.409741954080923,0.0,0.0,assembly,2022-01,GitHub,0,48
2022-02-01,assembly,GitHub,1699.0,0.0,0,0,0,0,0,0,0,0.27,1,7.438383530044307,0.0,0.0,assembly,2022-02,GitHub,0,49
2022-03-01,assembly,GitHub,1948.0,0.0,0,0,0,0,0,0,0,0.27,1,7.575071699507561,0.0,0.0,assembly,2022-03,GitHub,0,50
2022-04-01,assembly,GitHub,1928.0,0.0,0,0,0,0,0,0,0,0.27,1,7.564757012905729,0.0,0.0,assembly,2022-04,GitHub,0,51
2022-05-01,assembly,GitHub,1876.0,0.0,0,0,0,0,0,0,0,0.27,1,7.537430036586509,0.0,0.0,assembly,2022-05,GitHub,0,52
2022-06-01,assembly,GitHub,1556.0,0.0,0,0,0,0,0,1,0,0.295,1,7.350516171833998,0.0,0.0,assembly,2022-06,GitHub,0,53
2022-07-01,assembly,GitHub,1323.0,0.0,0,0,0,0,0,1,0,0.37,1,7.188412736496954,0.0,0.0,assembly,2022-07,GitHub,0,54
2022-08-01,assembly,GitHub,1460.0,0.0,0,0,0,0,0,1,0,0.37,1,7.2868764117507,0.0,0.0,assembly,2022-08,GitHub,0,55
2022-09-01,assembly,GitHub,1592.0,0.0,0,0,0,0,0,1,0,0.37,1,7.373374309910049,0.0,0.0,assembly,2022-09,GitHub,0,56
2022-10-01,assembly,GitHub,2112.0,0.0,0,1,0,0,0,1,0,0.37,1,7.655864017616056,0.0,0.0,assembly,2022-10,GitHub,0,57
2022-11-01,assembly,GitHub,2218.0,0.0,0,1,0,0,0,1,0,0.37,1,7.704811922932594,0.0,0.0,assembly,2022-11,GitHub,0,58
2022-12-01,assembly,GitHub,1850.0,0.0,0,1,1,0,1,1,0,0.48,1,7.523481312573497,0.1,0.1,assembly,2022-12,GitHub,0,59
2023-01-01,assembly,GitHub,1708.0,0.0,0,1,1,0,1,1,0,0.48,1,7.443663683115591,0.1,0.1,assembly,2023-01,GitHub,0,60
2023-02-01,assembly,GitHub,1834.0,0.0,0,1,1,0,1,1,0,0.48,1,7.51479976048867,0.1,0.1,assembly,2023-02,GitHub,0,61
2023-03-01,assembly,GitHub,2185.0,0.0,0,1,1,0,1,1,1,0.575,1,7.689828668736484,0.1,0.1,assembly,2023-03,GitHub,0,62
2023-04-01,assembly,GitHub,1989.0,0.0,0,1,1,0,1,1,1,0.67,1,7.595889917718538,0.1,0.1,assembly,2023-04,GitHub,0,63
2023-05-01,assembly,GitHub,2110.0,0.0,0,1,1,1,1,1,1,0.67,1,7.65491704784832,0.1,0.1,assembly,2023-05,GitHub,0,64
2023-06-01,assembly,GitHub,1766.0,0.0,0,1,0,1,1,1,1,0.67,1,7.4770384723196965,0.1,0.1,assembly,2023-06,GitHub,0,65
2023-07-01,assembly,GitHub,1626.0,0.0,0,0,0,1,1,1,1,0.686,1,7.394493107219038,0.1,0.1,assembly,2023-07,GitHub,0,66
2023-08-01,assembly,GitHub,1618.0,0.0,0,0,0,0,1,1,1,0.695,1,7.389563953677635,0.1,0.1,assembly,2023-08,GitHub,0,67
2023-09-01,assembly,GitHub,1949.0,0.0,0,0,0,0,1,1,1,0.65,1,7.575584651557793,0.1,0.1,assembly,2023-09,GitHub,0,68
2023-10-01,assembly,GitHub,2373.0,0.0,0,0,0,0,1,1,1,0.65,1,7.772331575169614,0.1,0.1,assembly,2023-10,GitHub,0,69
2023-11-01,assembly,GitHub,2228.0,0.0,0,0,0,0,1,1,1,0.65,1,7.709308333385869,0.1,0.1,assembly,2023-11,GitHub,0,70
2023-12-01,assembly,GitHub,2096.0,0.0,0,0,0,0,1,1,1,0.65,1,7.64826303090192,0.1,0.1,assembly,2023-12,GitHub,0,71
2024-01-01,assembly,GitHub,2152.0,0.0,0,0,0,0,1,1,1,0.65,1,7.674617497364363,0.1,0.1,assembly,2024-01,GitHub,0,72
2024-02-01,assembly,GitHub,2135.0,0.0,0,0,0,0,1,1,1,0.65,1,7.666690200080086,0.1,0.1,assembly,2024-02,GitHub,0,73
2024-03-01,assembly,GitHub,2618.0,0.0,0,0,0,0,1,1,1,0.65,1,7.870547844507712,0.1,0.1,assembly,2024-03,GitHub,0,74
2024-04-01,assembly,GitHub,2231.0,0.0,0,0,0,0,1,1,1,0.65,1,7.710653323501202,0.1,0.1,assembly,2024-04,GitHub,0,75
2024-05-01,assembly,GitHub,2264.0,0.0,0,0,0,0,1,1,1,0.8375,1,7.725330037917135,0.1,0.1,assembly,2024-05,GitHub,0,76
2024-06-01,assembly,GitHub,2007.0,0.0,0,0,0,0,1,1,1,0.9,1,7.60489448081162,0.1,0.1,assembly,2024-06,GitHub,0,77
2024-07-01,assembly,GitHub,1651.0,0.0,0,0,0,0,1,1,1,0.9,1,7.409741954080923,0.1,0.1,assembly,2024-07,GitHub,0,78
2024-08-01,assembly,GitHub,1914.0,0.0,0,0,0,0,1,1,1,0.9,1,7.557472901614746,0.1,0.1,assembly,2024-08,GitHub,0,79
2024-09-01,assembly,GitHub,2423.0,0.0,0,0,0,0,1,1,1,0.912,1,7.793174347189205,0.1,0.1,assembly,2024-09,GitHub,0,80
2024-10-01,assembly,GitHub,2726.0,0.0,0,0,0,0,1,1,1,0.92,1,7.910957382845589,0.1,0.1,assembly,2024-10,GitHub,0,81
2024-11-01,assembly,GitHub,2873.0,0.0,0,0,0,0,1,1,1,0.92,1,7.96346006663897,0.1,0.1,assembly,2024-11,GitHub,0,82
2024-12-01,assembly,GitHub,2597.0,0.0,0,0,0,0,1,1,1,0.9399999999999998,1,7.862497197230545,0.1,0.1,assembly,2024-12,GitHub,0,83
2025-01-01,assembly,GitHub,2446.0,0.0,0,0,0,0,1,1,1,0.94,1,7.802618063442671,0.1,0.1,assembly,2025-01,GitHub,0,84
2025-02-01,assembly,GitHub,2608.0,0.0,0,0,0,0,1,1,1,0.9475,1,7.866722285136729,0.1,0.1,assembly,2025-02,GitHub,0,85
2025-03-01,assembly,GitHub,2755.0,0.0,0,0,0,0,1,1,1,0.97,1,7.9215356321335495,0.1,0.1,assembly,2025-03,GitHub,0,86
2025-04-01,assembly,GitHub,2485.0,0.0,0,0,0,0,1,1,1,0.97,1,7.818430272070656,0.1,0.1,assembly,2025-04,GitHub,0,87
2025-05-01,assembly,GitHub,2903.0,0.0,0,0,0,0,1,1,1,0.97,1,7.973844375944687,0.1,0.1,assembly,2025-05,GitHub,0,88
2025-06-01,assembly,GitHub,2311.0,0.0,0,0,0,0,1,1,1,0.97,1,7.7458682297922685,0.1,0.1,assembly,2025-06,GitHub,0,89
2025-07-01,assembly,GitHub,2030.0,0.0,0,0,0,0,1,1,1,0.97,1,7.616283561580385,0.1,0.1,assembly,2025-07,GitHub,0,90
2025-08-01,assembly,GitHub,2064.0,0.0,0,0,0,0,1,1,1,0.97,1,7.632885505395133,0.1,0.1,assembly,2025-08,GitHub,0,91
2025-09-01,assembly,GitHub,2517.0,0.0,0,0,0,0,1,1,1,0.97,1,7.831220214604293,0.1,0.1,assembly,2025-09,GitHub,0,92
2025-10-01,assembly,GitHub,2697.0,0.0,0,0,0,0,1,1,1,0.97,1,7.900266036767701,0.1,0.1,assembly,2025-10,GitHub,0,93
2025-11-01,assembly,GitHub,2821.0,0.0,0,0,0,0,1,1,1,0.97,1,7.945201132412759,0.1,0.1,assembly,2025-11,GitHub,0,94
2025-12-01,assembly,GitHub,2638.0,0.0,0,0,0,0,1,1,1,0.97,1,7.878155336503324,0.1,0.1,assembly,2025-12,GitHub,0,95
2026-01-01,assembly,GitHub,2500.0,0.0,0,0,0,0,1,1,1,0.97,1,7.824445930877619,0.1,0.1,assembly,2026-01,GitHub,0,96
