week,week_dt,stackoverflow_questions,serverfault_questions,superuser_questions,math_questions,physics_questions,stats_questions,biology_questions,history_questions,philosophy_questions,economics_questions,cooking_questions,travel_questions
2018-W01,2018-01-01,30314.0,260.0,555.0,2913.0,321.0,317.0,61.0,31.0,23.0,26.0,35.0,83.0
2018-W02,2018-01-08,35823.0,326.0,584.0,3053.0,399.0,354.0,49.0,29.0,32.0,26.0,27.0,108.0
2018-W03,2018-01-15,37083.0,359.0,569.0,3328.0,418.0,392.0,52.0,41.0,46.0,29.0,37.0,96.0
2018-W04,2018-01-22,37986.0,340.0,618.0,3407.0,413.0,405.0,52.0,41.0,32.0,34.0,34.0,93.0
2018-W05,2018-01-29,38399.0,345.0,607.0,3415.0,396.0,414.0,51.0,23.0,33.0,25.0,49.0,110.0
2018-W06,2018-02-05,38807.0,362.0,604.0,3332.0,414.0,407.0,68.0,36.0,37.0,49.0,38.0,116.0
2018-W07,2018-02-12,37704.0,267.0,614.0,3145.0,408.0,353.0,66.0,46.0,56.0,37.0,41.0,91.0
2018-W08,2018-02-19,38292.0,298.0,617.0,3423.0,388.0,353.0,53.0,43.0,42.0,27.0,33.0,112.0
2018-W09,2018-02-26,38473.0,372.0,611.0,3274.0,441.0,403.0,57.0,42.0,41.0,35.0,34.0,115.0
2018-W10,2018-03-05,39235.0,387.0,588.0,3274.0,423.0,355.0,46.0,37.0,49.0,24.0,29.0,106.0
2018-W11,2018-03-12,39633.0,338.0,570.0,3143.0,431.0,440.0,71.0,36.0,56.0,37.0,37.0,113.0
2018-W12,2018-03-19,39987.0,366.0,603.0,3270.0,481.0,429.0,57.0,48.0,46.0,26.0,50.0,134.0
2018-W13,2018-03-26,38033.0,289.0,589.0,3237.0,410.0,415.0,67.0,23.0,57.0,23.0,54.0,124.0
2018-W14,2018-04-02,37739.0,315.0,623.0,3383.0,409.0,438.0,63.0,25.0,75.0,33.0,34.0,132.0
2018-W15,2018-04-09,39003.0,367.0,644.0,3471.0,447.0,449.0,84.0,34.0,64.0,34.0,35.0,131.0
2018-W16,2018-04-16,38847.0,350.0,533.0,3551.0,412.0,445.0,80.0,26.0,59.0,37.0,52.0,119.0
2018-W17,2018-04-23,38185.0,307.0,576.0,3507.0,413.0,483.0,55.0,30.0,56.0,44.0,37.0,131.0
2018-W18,2018-04-30,36330.0,326.0,541.0,3545.0,421.0,419.0,66.0,31.0,56.0,44.0,39.0,140.0
2018-W19,2018-05-07,37113.0,323.0,570.0,3427.0,409.0,435.0,54.0,26.0,66.0,45.0,42.0,139.0
2018-W20,2018-05-14,37892.0,303.0,599.0,3148.0,425.0,458.0,63.0,31.0,52.0,33.0,28.0,157.0
2018-W21,2018-05-21,37268.0,290.0,543.0,3082.0,448.0,416.0,63.0,34.0,48.0,39.0,35.0,130.0
2018-W22,2018-05-28,36253.0,294.0,541.0,2914.0,401.0,372.0,57.0,26.0,49.0,36.0,36.0,122.0
2018-W23,2018-06-04,37376.0,328.0,557.0,2766.0,395.0,350.0,59.0,38.0,37.0,42.0,31.0,126.0
2018-W24,2018-06-11,35799.0,303.0,555.0,2726.0,353.0,426.0,60.0,24.0,40.0,33.0,31.0,136.0
2018-W25,2018-06-18,36387.0,286.0,517.0,2548.0,375.0,394.0,63.0,26.0,34.0,22.0,38.0,116.0
2018-W26,2018-06-25,36153.0,331.0,539.0,2406.0,333.0,336.0,63.0,38.0,36.0,16.0,36.0,124.0
2018-W27,2018-07-02,34698.0,325.0,481.0,2372.0,294.0,321.0,59.0,29.0,53.0,22.0,37.0,115.0
2018-W28,2018-07-09,36723.0,309.0,512.0,2326.0,328.0,363.0,61.0,30.0,50.0,26.0,37.0,112.0
2018-W29,2018-07-16,37209.0,326.0,541.0,2226.0,366.0,356.0,63.0,30.0,28.0,23.0,48.0,131.0
2018-W30,2018-07-23,36418.0,269.0,515.0,2143.0,343.0,393.0,62.0,21.0,47.0,15.0,24.0,145.0
2018-W31,2018-07-30,36070.0,306.0,567.0,2245.0,349.0,384.0,50.0,18.0,32.0,33.0,39.0,121.0
2018-W32,2018-08-06,36057.0,298.0,566.0,2422.0,337.0,338.0,54.0,30.0,52.0,30.0,39.0,148.0
2018-W33,2018-08-13,34344.0,283.0,531.0,2417.0,357.0,332.0,49.0,27.0,42.0,24.0,42.0,111.0
2018-W34,2018-08-20,34674.0,295.0,527.0,2406.0,405.0,373.0,39.0,42.0,47.0,34.0,37.0,121.0
2018-W35,2018-08-27,35227.0,322.0,586.0,2547.0,378.0,339.0,42.0,37.0,56.0,19.0,34.0,121.0
2018-W36,2018-09-03,34031.0,311.0,572.0,2642.0,367.0,340.0,42.0,28.0,50.0,25.0,32.0,119.0
