month,stats_questions
2009-02-01,1
2009-04-01,1
2009-12-01,1
2010-07-01,242
2010-08-01,271
2010-09-01,222
2010-10-01,238
2010-11-01,270
2010-12-01,234
2011-01-01,268
2011-02-01,313
2011-03-01,426
2011-04-01,403
2011-05-01,408
2011-06-01,393
2011-07-01,435
2011-08-01,445
2011-09-01,419
2011-10-01,515
2011-11-01,503
2011-12-01,402
2012-01-01,545
2012-02-01,641
2012-03-01,619
2012-04-01,654
2012-05-01,672
2012-06-01,647
2012-07-01,707
2012-08-01,708
2012-09-01,664
2012-10-01,818
2012-11-01,813
2012-12-01,743
2013-01-01,833
2013-02-01,752
2013-03-01,959
2013-04-01,1029
2013-05-01,1086
2013-06-01,863
2013-07-01,1154
2013-08-01,979
2013-09-01,944
2013-10-01,1031
2013-11-01,1047
2013-12-01,920
2014-01-01,1155
2014-02-01,1246
2014-03-01,1379
2014-04-01,1392
2014-05-01,1407
2014-06-01,1327
2014-07-01,1414
2014-08-01,1288
2014-09-01,1182
2014-10-01,1358
2014-11-01,1374
2014-12-01,1308
2015-01-01,1435
2015-02-01,1354
2015-03-01,1579
2015-04-01,1683
2015-05-01,1603
2015-06-01,1596
2015-07-01,1658
2015-08-01,1474
2015-09-01,1498
2015-10-01,1565
2015-11-01,1621
2015-12-01,1501
2016-01-01,1491
2016-02-01,1583
2016-03-01,1855
2016-04-01,1737
2016-05-01,1719
2016-06-01,1605
2016-07-01,1548
2016-08-01,1761
2016-09-01,1821
2016-10-01,1997
2016-11-01,1910
2016-12-01,1832
2017-01-01,1756
2017-02-01,1878
2017-03-01,2295
2017-04-01,1812
2017-05-01,2003
2017-06-01,1790
2017-07-01,1689
2017-08-01,1695
2017-09-01,1584
2017-10-01,1778
2017-11-01,1691
2017-12-01,1423
2018-01-01,1672
2018-02-01,1547
2018-03-01,1781
2018-04-01,1935
2018-05-01,1911
2018-06-01,1597
2018-07-01,1606
2018-08-01,1571
2018-09-01,1479
2018-10-01,1652
2018-11-01,1586
2018-12-01,1540
2019-01-01,1778
2019-02-01,1730
2019-03-01,1863
2019-04-01,1837
2019-05-01,1706
2019-06-01,1454
2019-07-01,1625
2019-08-01,1553
2019-09-01,1408
2019-10-01,1581
2019-11-01,1678
2019-12-01,1471
2020-01-01,1643
2020-02-01,1694
2020-03-01,1677
2020-04-01,2121
2020-05-01,2113
2020-06-01,1821
2020-07-01,1927
2020-08-01,1714
2020-09-01,1592
2020-10-01,1726
2020-11-01,1534
2020-12-01,1465
2021-01-01,1448
2021-02-01,1520
2021-03-01,1781
2021-04-01,1567
2021-05-01,1558
2021-06-01,1525
2021-07-01,1419
2021-08-01,1215
2021-09-01,1289
2021-10-01,1329
2021-11-01,1360
2021-12-01,1207
2022-01-01,1347
2022-02-01,1279
2022-03-01,1397
2022-04-01,1356
2022-05-01,1354
2022-06-01,1248
2022-07-01,1215
2022-08-01,1337
2022-09-01,1155
2022-10-01,1293
2022-11-01,1179
2022-12-01,1057
2023-01-01,1214
2023-02-01,1189
2023-03-01,1253
2023-04-01,1403
2023-05-01,1435
2023-06-01,1347
2023-07-01,1291
2023-08-01,1248
2023-09-01,1007
2023-10-01,1145
2023-11-01,1131
2023-12-01,931
2024-01-01,1015
2024-02-01,1066
2024-03-01,1175
2024-04-01,810
2024-05-01,747
2024-06-01,632
2024-07-01,625
2024-08-01,555
2024-09-01,512
2024-10-01,504
2024-11-01,545
2024-12-01,421
2025-01-01,479
2025-02-01,434
2025-03-01,481
2025-04-01,410
2025-05-01,339
2025-06-01,296
2025-07-01,320
2025-08-01,271
2025-09-01,232
2025-10-01,221
2025-11-01,242
2025-12-01,181
2026-01-01,178
2026-02-01,172
