language,ai_replaceability,did_effect,se,pval
assembly,0.15,-0.0395395022069433,0.05679345483771152,0.4870462957848306
go,0.75,-0.3237735547855261,0.04454741138357925,6.4277646601066296e-12
haskell,0.55,-0.5613031184979939,0.06845597443386654,2.0658126534214024e-14
java,0.81,-0.08276931855579638,0.02478410286305425,0.0009867440616765193
javascript,0.87,-0.3645660199872827,0.03001697440443308,2.8990090616939465e-26
kotlin,0.77,-0.2047870650299294,0.026246357350782124,2.4964951973393793e-13
php,0.78,-0.20251916847359638,0.02268212884152946,1.8190953417535283e-16
python,0.92,-0.3986781999871696,0.03244011564332437,1.0108390341923299e-26
r,0.7,-0.25849835770494234,0.038260207630549325,1.271020521488908e-10
ruby,0.74,-0.3060178887911603,0.045650944923105306,1.7173024228056396e-10
scala,0.72,-0.13375735534275793,0.04493070044681329,0.003240039518362028
swift,0.76,-0.03278671853469536,0.026915332382153326,0.22448643694089743
typescript,0.85,-0.18306308620913683,0.030031731097109812,4.8914118446685475e-09
