month,travel_questions
2011-06-01,181
2011-07-01,154
2011-08-01,131
2011-09-01,135
2011-10-01,148
2011-11-01,147
2011-12-01,198
2012-01-01,188
2012-02-01,134
2012-03-01,150
2012-04-01,129
2012-05-01,164
2012-06-01,206
2012-07-01,141
2012-08-01,164
2012-09-01,148
2012-10-01,138
2012-11-01,114
2012-12-01,158
2013-01-01,187
2013-02-01,234
2013-03-01,255
2013-04-01,201
2013-05-01,209
2013-06-01,192
2013-07-01,216
2013-08-01,211
2013-09-01,195
2013-10-01,188
2013-11-01,186
2013-12-01,211
2014-01-01,229
2014-02-01,225
2014-03-01,283
2014-04-01,305
2014-05-01,362
2014-06-01,393
2014-07-01,437
2014-08-01,363
2014-09-01,302
2014-10-01,308
2014-11-01,295
2014-12-01,335
2015-01-01,336
2015-02-01,329
2015-03-01,415
2015-04-01,454
2015-05-01,475
2015-06-01,572
2015-07-01,498
2015-08-01,489
2015-09-01,408
2015-10-01,370
2015-11-01,346
2015-12-01,392
2016-01-01,415
2016-02-01,370
2016-03-01,403
2016-04-01,472
2016-05-01,574
2016-06-01,610
2016-07-01,662
2016-08-01,627
2016-09-01,536
2016-10-01,495
2016-11-01,432
2016-12-01,483
2017-01-01,519
2017-02-01,507
2017-03-01,567
2017-04-01,491
2017-05-01,547
2017-06-01,616
2017-07-01,591
2017-08-01,624
2017-09-01,550
2017-10-01,494
2017-11-01,415
2017-12-01,450
2018-01-01,436
2018-02-01,428
2018-03-01,519
2018-04-01,554
2018-05-01,625
2018-06-01,530
2018-07-01,548
2018-08-01,571
2018-09-01,459
2018-10-01,515
2018-11-01,478
2018-12-01,508
2019-01-01,694
2019-02-01,521
2019-03-01,638
2019-04-01,587
2019-05-01,666
2019-06-01,541
2019-07-01,582
2019-08-01,602
2019-09-01,513
2019-10-01,387
2019-11-01,367
2019-12-01,416
2020-01-01,441
2020-02-01,399
2020-03-01,300
2020-04-01,127
2020-05-01,118
2020-06-01,156
2020-07-01,178
2020-08-01,163
2020-09-01,142
2020-10-01,129
2020-11-01,105
2020-12-01,123
2021-01-01,132
2021-02-01,96
2021-03-01,133
2021-04-01,108
2021-05-01,158
2021-06-01,147
2021-07-01,156
2021-08-01,154
2021-09-01,146
2021-10-01,144
2021-11-01,159
2021-12-01,173
2022-01-01,161
2022-02-01,119
2022-03-01,166
2022-04-01,161
2022-05-01,181
2022-06-01,216
2022-07-01,222
2022-08-01,247
2022-09-01,181
2022-10-01,200
2022-11-01,178
2022-12-01,210
2023-01-01,199
2023-02-01,190
2023-03-01,234
2023-04-01,169
2023-05-01,210
2023-06-01,210
2023-07-01,222
2023-08-01,182
2023-09-01,201
2023-10-01,178
2023-11-01,173
2023-12-01,172
2024-01-01,225
2024-02-01,191
2024-03-01,214
2024-04-01,155
2024-05-01,162
2024-06-01,186
2024-07-01,194
2024-08-01,219
2024-09-01,130
2024-10-01,140
2024-11-01,117
2024-12-01,105
2025-01-01,100
2025-02-01,101
2025-03-01,126
2025-04-01,80
2025-05-01,106
2025-06-01,94
2025-07-01,79
2025-08-01,62
2025-09-01,61
2025-10-01,62
2025-11-01,48
2025-12-01,59
2026-01-01,48
2026-02-01,38
